,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emev,i_01cn,ii_corr,60,iii_gbrt,0.013,0.993,0.100,0.883,0.100,0.860,"{'learning_rate': [0.082], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [22], 'n_estimators': [120]}"
2,emev,i_01cl,ii_rf,rf_ff_final,iii_gbrt,0.003,1.000,0.100,0.839,0.100,0.840,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [18], 'n_estimators': [330]}"
3,emev,i_13cn,ii_corr,70,iii_gbrt,0.019,0.986,0.100,0.820,0.100,0.834,"{'learning_rate': [0.083], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [8], 'n_estimators': [800]}"
4,emev,i_12cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.034,0.951,0.100,0.797,0.100,0.831,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [330]}"
5,emev,i_01cd,ii_random,des_random_3,iii_gbrt,0.013,0.993,0.100,0.812,0.100,0.830,"{'learning_rate': [0.081], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [12], 'n_estimators': [320]}"
6,emev,i_13a,ii_random,des_random_3,iii_lgbm,0.036,0.945,0.100,0.808,0.100,0.825,"{'learning_rate': [0.09], 'max_depth': [8], 'n_estimators': [270], 'num_leaves': [20]}"
7,emev,i_12cl,ii_rf,rf_ff_final,iii_lgbm,0.025,0.975,0.100,0.804,0.100,0.822,"{'learning_rate': [0.15], 'max_depth': [14], 'n_estimators': [260], 'num_leaves': [20]}"
8,emev,i_01cg,ii_random,des_random_1,iii_gbrt,0.010,0.996,0.100,0.825,0.100,0.821,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [14], 'n_estimators': [250]}"
9,emev,i_12a,ii_random,des_random_0,iii_gbrt,0.027,0.968,0.100,0.802,0.100,0.812,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [8], 'n_estimators': [450]}"
10,emev,i_13cl,ii_rf,rf_ff_final,iii_lgbm,0.032,0.957,0.100,0.808,0.100,0.810,"{'learning_rate': [0.07], 'max_depth': [14], 'n_estimators': [260], 'num_leaves': [20]}"
11,emev,i_01ch,ii_corr,150,iii_lgbm,0.004,0.999,0.100,0.826,0.100,0.807,"{'learning_rate': [0.02], 'max_depth': [18], 'n_estimators': [2090], 'num_leaves': [20]}"
12,emev,i_11cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.055,0.873,0.100,0.727,0.100,0.800,"{'learning_rate': [0.12], 'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [6], 'n_estimators': [340]}"
13,emev,i_02cl,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.023,0.978,0.100,0.778,0.100,0.799,"{'learning_rate': [0.07], 'max_depth': [6], 'max_features': [75], 'max_leaf_nodes': [14], 'n_estimators': [400]}"
14,emev,i_11cl,ii_rf,rf_ff_final,iii_gbrt,0.037,0.941,0.100,0.796,0.100,0.793,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [6], 'n_estimators': [460]}"
15,emev,i_02cn,ii_random,des_random_5,iii_lgbm,0.041,0.930,0.100,0.787,0.100,0.791,"{'learning_rate': [0.071], 'max_depth': [14], 'n_estimators': [380], 'num_leaves': [20]}"
16,emev,i_01cp,ii_corr,100,iii_gbrt,0.026,0.972,0.100,0.792,0.100,0.791,"{'learning_rate': [0.093], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [6], 'n_estimators': [340]}"
17,emev,i_02a,ii_la,la_ff_final,iii_gbrt,0.033,0.955,0.100,0.773,0.100,0.790,"{'learning_rate': [0.069], 'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [8], 'n_estimators': [710]}"
18,emev,i_13cg,ii_rf,rf_ff_final,iii_lgbm,0.032,0.958,0.100,0.771,0.100,0.790,"{'learning_rate': [0.08], 'max_depth': [16], 'n_estimators': [350], 'num_leaves': [20]}"
19,emev,i_13cp,ii_corr,150,iii_gbrt,0.008,0.998,0.100,0.761,0.100,0.785,"{'learning_rate': [0.091], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [26], 'n_estimators': [650]}"
20,emev,i_12cg,ii_rf,rf_ff_final,iii_lgbm,0.043,0.921,0.100,0.760,0.100,0.782,"{'learning_rate': [0.088], 'max_depth': [8], 'n_estimators': [280], 'num_leaves': [20]}"
21,emev,i_02cg,ii_la,la_ff_final,iii_gbrt,0.030,0.962,0.100,0.750,0.100,0.781,"{'learning_rate': [0.061], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [380]}"
22,emev,i_11a,ii_la,la_ff_final,iii_gbrt,0.049,0.901,0.100,0.761,0.100,0.775,"{'learning_rate': [0.091], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [350]}"
23,emev,i_12cp,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.045,0.914,0.100,0.755,0.100,0.773,"{'learning_rate': [0.15], 'max_depth': [6], 'n_estimators': [230], 'num_leaves': [20]}"
24,emev,i_13ch,ii_la,la_ff_final,iii_lgbm,0.027,0.969,0.100,0.803,0.100,0.771,"{'learning_rate': [0.1], 'max_depth': [16], 'n_estimators': [250], 'num_leaves': [20]}"
25,emev,i_02cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.044,0.920,0.100,0.739,0.100,0.766,"{'learning_rate': [0.057], 'max_depth': [6], 'n_estimators': [380], 'num_leaves': [20]}"
26,emev,i_12ch,ii_la,la_ff_final,iii_lgbm,0.042,0.925,0.100,0.789,0.100,0.760,"{'learning_rate': [0.09], 'max_depth': [8], 'n_estimators': [210], 'num_leaves': [20]}"
27,emev,i_02cp,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.034,0.951,0.100,0.755,0.100,0.757,"{'learning_rate': [0.11], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [12], 'n_estimators': [300]}"
28,emev,i_13cd,ii_la,la_ff_final,iii_lgbm,0.040,0.933,0.100,0.754,0.100,0.755,"{'learning_rate': [0.072], 'max_depth': [14], 'n_estimators': [240], 'num_leaves': [20]}"
29,emev,i_12cd,ii_random,des_random_7,iii_lgbm,0.046,0.910,0.100,0.711,0.100,0.749,"{'learning_rate': [0.099], 'max_depth': [14], 'n_estimators': [350], 'num_leaves': [20]}"
