,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emev,i_01cn,ii_corr,60,iii_gbrt,0.013,0.993,0.100,0.883,0.100,0.860,"{'learning_rate': [0.082], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [22], 'n_estimators': [120]}"
2,emev,i_01cn,ii_random,des_random_2,iii_gbrt,0.016,0.989,0.100,0.858,0.100,0.856,"{'learning_rate': [0.08], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [170]}"
3,emev,i_01cn,ii_corr,70,iii_gbrt,0.016,0.989,0.100,0.874,0.100,0.854,"{'learning_rate': [0.075], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [18], 'n_estimators': [150]}"
4,emev,i_01cn,ii_random,des_random_6,iii_gbrt,0.018,0.987,0.100,0.854,0.100,0.850,"{'learning_rate': [0.087], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [14], 'n_estimators': [150]}"
5,emev,i_01cn,ii_random,des_random_3,iii_gbrt,0.001,1.000,0.100,0.856,0.100,0.849,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [38], 'n_estimators': [270]}"
6,emev,i_01cn,ii_random,des_random_3,iii_lgbm,0.018,0.987,0.100,0.850,0.100,0.848,"{'learning_rate': [0.085], 'max_depth': [12], 'n_estimators': [150], 'num_leaves': [20]}"
7,emev,i_01cn,ii_random,des_random_0,iii_lgbm,0.010,0.996,0.100,0.868,0.100,0.848,"{'learning_rate': [0.1], 'max_depth': [12], 'n_estimators': [210], 'num_leaves': [20]}"
8,emev,i_01cn,ii_corr,100,iii_lgbm,0.025,0.974,0.100,0.862,0.100,0.846,"{'learning_rate': [0.076], 'max_depth': [8], 'n_estimators': [120], 'num_leaves': [20]}"
9,emev,i_01cn,ii_random,des_random_8,iii_lgbm,0.013,0.992,0.100,0.846,0.100,0.846,"{'learning_rate': [0.1], 'max_depth': [14], 'n_estimators': [170], 'num_leaves': [20]}"
10,emev,i_01cn,ii_la,la_ff_final,iii_gbrt,0.001,1.000,0.100,0.858,0.100,0.846,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [30], 'n_estimators': [160]}"
11,emev,i_01cn,ii_rf,rf_ff_final,iii_gbrt,0.001,1.000,0.100,0.858,0.100,0.846,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [30], 'n_estimators': [160]}"
12,emev,i_01cn,ii_random,des_random_1,iii_gbrt,0.007,0.998,0.100,0.868,0.100,0.845,"{'learning_rate': [0.084], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [26], 'n_estimators': [160]}"
13,emev,i_01cn,ii_corr,100,iii_gbrt,0.011,0.995,0.100,0.864,0.100,0.843,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [18], 'n_estimators': [160]}"
14,emev,i_01cn,ii_random,des_random_0,iii_gbrt,0.000,1.000,0.100,0.873,0.100,0.842,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [42], 'n_estimators': [330]}"
15,emev,i_01cn,ii_corr,80,iii_lgbm,0.024,0.975,0.100,0.868,0.100,0.841,"{'learning_rate': [0.091], 'max_depth': [12], 'n_estimators': [100], 'num_leaves': [20]}"
16,emev,i_01cn,ii_corr,60,iii_lgbm,0.028,0.966,0.100,0.861,0.100,0.841,"{'learning_rate': [0.07], 'max_depth': [12], 'n_estimators': [110], 'num_leaves': [20]}"
17,emev,i_01cl,ii_rf,rf_ff_final,iii_gbrt,0.003,1.000,0.100,0.839,0.100,0.840,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [18], 'n_estimators': [330]}"
18,emev,i_01cn,ii_random,des_random_2,iii_lgbm,0.017,0.988,0.100,0.857,0.100,0.840,"{'learning_rate': [0.053], 'max_depth': [14], 'n_estimators': [250], 'num_leaves': [20]}"
19,emev,i_01cn,ii_random,des_random_5,iii_gbrt,0.007,0.998,0.100,0.860,0.100,0.839,"{'learning_rate': [0.087], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [22], 'n_estimators': [190]}"
20,emev,i_01cn,ii_corr,70,iii_lgbm,0.027,0.969,0.100,0.860,0.100,0.838,"{'learning_rate': [0.068], 'max_depth': [12], 'n_estimators': [120], 'num_leaves': [20]}"
21,emev,i_01cn,ii_corr,80,iii_gbrt,0.017,0.988,0.100,0.862,0.100,0.837,"{'learning_rate': [0.096], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [14], 'n_estimators': [150]}"
22,emev,i_01cn,ii_corr,55,iii_lgbm,0.029,0.965,0.100,0.859,0.100,0.836,"{'learning_rate': [0.074], 'max_depth': [12], 'n_estimators': [120], 'num_leaves': [20]}"
23,emev,i_01cn,ii_random,des_random_6,iii_lgbm,0.025,0.974,0.100,0.860,0.100,0.836,"{'learning_rate': [0.087], 'max_depth': [8], 'n_estimators': [100], 'num_leaves': [20]}"
24,emev,i_01cn,ii_random,des_random_5,iii_lgbm,0.008,0.998,0.100,0.862,0.100,0.836,"{'learning_rate': [0.089], 'max_depth': [10], 'n_estimators': [280], 'num_leaves': [20]}"
25,emev,i_01cn,ii_random,des_random_9,iii_gbrt,0.011,0.995,0.100,0.850,0.100,0.835,"{'learning_rate': [0.095], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [18], 'n_estimators': [220]}"
26,emev,i_13cn,ii_corr,70,iii_gbrt,0.019,0.986,0.100,0.820,0.100,0.834,"{'learning_rate': [0.083], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [8], 'n_estimators': [800]}"
27,emev,i_01cn,ii_corr,55,iii_gbrt,0.022,0.979,0.100,0.857,0.100,0.834,"{'learning_rate': [0.075], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [12], 'n_estimators': [190]}"
28,emev,i_01cn,ii_random,des_random_7,iii_gbrt,0.004,0.999,0.100,0.857,0.100,0.833,"{'learning_rate': [0.096], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [24], 'n_estimators': [200]}"
29,emev,i_01cn,ii_la,la_ff_final,iii_lgbm,0.022,0.980,0.100,0.853,0.100,0.832,"{'learning_rate': [0.079], 'max_depth': [14], 'n_estimators': [110], 'num_leaves': [20]}"
30,emev,i_01cn,ii_rf,rf_ff_final,iii_lgbm,0.022,0.980,0.100,0.853,0.100,0.832,"{'learning_rate': [0.079], 'max_depth': [14], 'n_estimators': [110], 'num_leaves': [20]}"
31,emev,i_12cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.034,0.951,0.100,0.797,0.100,0.831,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [330]}"
32,emev,i_01cn,ii_random,des_random_9,iii_lgbm,0.009,0.997,0.100,0.865,0.100,0.831,"{'learning_rate': [0.076], 'max_depth': [14], 'n_estimators': [300], 'num_leaves': [20]}"
33,emev,i_01cd,ii_random,des_random_3,iii_gbrt,0.013,0.993,0.100,0.812,0.100,0.830,"{'learning_rate': [0.081], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [12], 'n_estimators': [320]}"
34,emev,i_01cn,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.001,1.000,0.100,0.844,0.100,0.830,"{'learning_rate': [0.2], 'max_depth': [12], 'n_estimators': [280], 'num_leaves': [20]}"
35,emev,i_01cl,ii_la,la_ff_final,iii_lgbm,0.015,0.990,0.100,0.846,0.100,0.828,"{'learning_rate': [0.08], 'max_depth': [14], 'n_estimators': [220], 'num_leaves': [20]}"
36,emev,i_12cn,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.043,0.924,0.100,0.806,0.100,0.827,"{'learning_rate': [0.14], 'max_depth': [8], 'n_estimators': [230], 'num_leaves': [20]}"
37,emev,i_01cn,ii_random,des_random_1,iii_lgbm,0.023,0.979,0.100,0.850,0.100,0.826,"{'learning_rate': [0.081], 'max_depth': [14], 'n_estimators': [130], 'num_leaves': [20]}"
38,emev,i_01cl,ii_corr,200,iii_lgbm,0.001,1.000,0.100,0.851,0.100,0.826,"{'learning_rate': [0.07], 'max_depth': [16], 'n_estimators': [1060], 'num_leaves': [20]}"
39,emev,i_01cl,ii_corr,80,iii_gbrt,0.027,0.969,0.100,0.825,0.100,0.826,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [220]}"
40,emev,i_13a,ii_random,des_random_3,iii_lgbm,0.036,0.945,0.100,0.808,0.100,0.825,"{'learning_rate': [0.09], 'max_depth': [8], 'n_estimators': [270], 'num_leaves': [20]}"
41,emev,i_01cn,ii_random,des_random_7,iii_lgbm,0.019,0.985,0.100,0.850,0.100,0.825,"{'learning_rate': [0.1], 'max_depth': [12], 'n_estimators': [120], 'num_leaves': [20]}"
42,emev,i_01cl,ii_random,des_random_9,iii_lgbm,0.011,0.995,0.100,0.825,0.100,0.824,"{'learning_rate': [0.088], 'max_depth': [12], 'n_estimators': [240], 'num_leaves': [20]}"
43,emev,i_13a,ii_random,des_random_3,iii_gbrt,0.018,0.987,0.100,0.794,0.100,0.824,"{'learning_rate': [0.19], 'max_depth': [6], 'max_features': [65], 'max_leaf_nodes': [6], 'n_estimators': [420]}"
44,emev,i_01cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.007,0.998,0.100,0.856,0.100,0.824,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [290]}"
45,emev,i_01cl,ii_rf,rf_ff_final,iii_lgbm,0.000,1.000,0.100,0.848,0.100,0.823,"{'learning_rate': [0.07], 'max_depth': [16], 'n_estimators': [1300], 'num_leaves': [20]}"
46,emev,i_13a,ii_corr,80,iii_gbrt,0.015,0.990,0.100,0.824,0.100,0.823,"{'learning_rate': [0.071], 'max_depth': [8], 'max_features': [25], 'max_leaf_nodes': [12], 'n_estimators': [490]}"
47,emev,i_01cd,ii_random,des_random_5,iii_gbrt,0.008,0.997,0.100,0.818,0.100,0.822,"{'learning_rate': [0.091], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [18], 'n_estimators': [210]}"
48,emev,i_13a,ii_random,des_random_9,iii_gbrt,0.021,0.981,0.100,0.812,0.100,0.822,"{'learning_rate': [0.076], 'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [10], 'n_estimators': [930]}"
49,emev,i_12cl,ii_rf,rf_ff_final,iii_lgbm,0.025,0.975,0.100,0.804,0.100,0.822,"{'learning_rate': [0.15], 'max_depth': [14], 'n_estimators': [260], 'num_leaves': [20]}"
50,emev,i_01cl,ii_corr,80,iii_lgbm,0.011,0.995,0.100,0.816,0.100,0.821,"{'learning_rate': [0.1], 'max_depth': [10], 'n_estimators': [240], 'num_leaves': [20]}"
51,emev,i_01cg,ii_random,des_random_1,iii_gbrt,0.010,0.996,0.100,0.825,0.100,0.821,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [14], 'n_estimators': [250]}"
52,emev,i_01cd,ii_corr,200,iii_gbrt,0.001,1.000,0.100,0.821,0.100,0.821,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [10], 'n_estimators': [1160]}"
53,emev,i_13a,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.030,0.961,0.100,0.797,0.100,0.821,"{'learning_rate': [0.094], 'max_depth': [12], 'n_estimators': [250], 'num_leaves': [20]}"
54,emev,i_01cd,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.005,0.999,0.100,0.826,0.100,0.820,"{'learning_rate': [0.08], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [12], 'n_estimators': [430]}"
55,emev,i_01cl,ii_corr,200,iii_gbrt,0.000,1.000,0.100,0.840,0.100,0.819,"{'learning_rate': [0.21], 'max_depth': [6], 'max_features': [110], 'max_leaf_nodes': [16], 'n_estimators': [300]}"
56,emev,i_01cl,ii_corr,150,iii_lgbm,0.003,1.000,0.100,0.843,0.100,0.819,"{'learning_rate': [0.086], 'max_depth': [14], 'n_estimators': [550], 'num_leaves': [20]}"
57,emev,i_01cd,ii_corr,150,iii_gbrt,0.014,0.992,0.100,0.812,0.100,0.819,"{'learning_rate': [0.063], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [10], 'n_estimators': [410]}"
58,emev,i_01cd,ii_random,des_random_1,iii_gbrt,0.003,1.000,0.100,0.824,0.100,0.819,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [16], 'n_estimators': [440]}"
59,emev,i_01cl,ii_corr,100,iii_gbrt,0.005,0.999,0.100,0.826,0.100,0.819,"{'learning_rate': [0.069], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [16], 'n_estimators': [400]}"
60,emev,i_01cd,ii_random,des_random_9,iii_lgbm,0.013,0.993,0.100,0.805,0.100,0.819,"{'learning_rate': [0.1], 'max_depth': [14], 'n_estimators': [170], 'num_leaves': [20]}"
61,emev,i_01cn,ii_random,des_random_4,iii_lgbm,0.021,0.981,0.100,0.846,0.100,0.818,"{'learning_rate': [0.087], 'max_depth': [14], 'n_estimators': [120], 'num_leaves': [20]}"
62,emev,i_12cn,ii_corr,60,iii_gbrt,0.037,0.943,0.100,0.783,0.100,0.818,"{'learning_rate': [0.16], 'max_depth': [4], 'max_features': [50], 'max_leaf_nodes': [6], 'n_estimators': [330]}"
63,emev,i_01cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.007,0.998,0.100,0.818,0.100,0.818,"{'learning_rate': [0.089], 'max_depth': [16], 'n_estimators': [250], 'num_leaves': [20]}"
64,emev,i_01cg,ii_corr,200,iii_gbrt,0.009,0.996,0.100,0.819,0.100,0.818,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [330]}"
65,emev,i_01cl,ii_la,la_ff_final,iii_gbrt,0.007,0.998,0.100,0.845,0.100,0.817,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [16], 'n_estimators': [240]}"
66,emev,i_01cn,ii_random,des_random_4,iii_gbrt,0.017,0.988,0.100,0.845,0.100,0.817,"{'learning_rate': [0.081], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [12], 'n_estimators': [270]}"
67,emev,i_01cd,ii_random,des_random_2,iii_lgbm,0.009,0.997,0.100,0.805,0.100,0.816,"{'learning_rate': [0.095], 'max_depth': [12], 'n_estimators': [260], 'num_leaves': [20]}"
68,emev,i_01cl,ii_random,des_random_9,iii_gbrt,0.005,0.999,0.100,0.836,0.100,0.816,"{'learning_rate': [0.096], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [12], 'n_estimators': [420]}"
69,emev,i_01cd,ii_la,la_ff_final,iii_gbrt,0.006,0.999,0.100,0.834,0.100,0.816,"{'learning_rate': [0.083], 'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [10], 'n_estimators': [440]}"
70,emev,i_12cn,ii_random,des_random_2,iii_lgbm,0.047,0.909,0.100,0.789,0.100,0.816,"{'learning_rate': [0.13], 'max_depth': [8], 'n_estimators': [230], 'num_leaves': [20]}"
71,emev,i_01cg,ii_random,des_random_0,iii_gbrt,0.001,1.000,0.100,0.800,0.100,0.816,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [18], 'n_estimators': [450]}"
72,emev,i_01cl,ii_corr,40,iii_lgbm,0.026,0.971,0.100,0.810,0.100,0.816,"{'learning_rate': [0.083], 'max_depth': [14], 'n_estimators': [190], 'num_leaves': [20]}"
73,emev,i_13cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.014,0.991,0.100,0.808,0.100,0.816,"{'learning_rate': [0.17], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [8], 'n_estimators': [520]}"
74,emev,i_12cn,ii_rf,rf_ff_final,iii_lgbm,0.035,0.949,0.100,0.795,0.100,0.816,"{'learning_rate': [0.12], 'max_depth': [14], 'n_estimators': [260], 'num_leaves': [20]}"
75,emev,i_01cl,ii_corr,35,iii_lgbm,0.028,0.968,0.100,0.821,0.100,0.815,"{'learning_rate': [0.078], 'max_depth': [10], 'n_estimators': [190], 'num_leaves': [20]}"
76,emev,i_01cl,ii_random,des_random_3,iii_gbrt,0.001,1.000,0.100,0.824,0.100,0.814,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [20], 'n_estimators': [560]}"
77,emev,i_01cl,ii_corr,70,iii_gbrt,0.020,0.984,0.100,0.819,0.100,0.814,"{'learning_rate': [0.065], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [12], 'n_estimators': [280]}"
78,emev,i_01cl,ii_corr,100,iii_lgbm,0.010,0.996,0.100,0.838,0.100,0.814,"{'learning_rate': [0.1], 'max_depth': [12], 'n_estimators': [220], 'num_leaves': [20]}"
79,emev,i_13a,ii_random,des_random_7,iii_lgbm,0.034,0.952,0.100,0.807,0.100,0.814,"{'learning_rate': [0.14], 'max_depth': [6], 'n_estimators': [240], 'num_leaves': [20]}"
80,emev,i_01cd,ii_corr,60,iii_lgbm,0.024,0.975,0.100,0.796,0.100,0.814,"{'learning_rate': [0.081], 'max_depth': [12], 'n_estimators': [130], 'num_leaves': [20]}"
81,emev,i_01cg,ii_corr,200,iii_lgbm,0.015,0.991,0.100,0.812,0.100,0.814,"{'learning_rate': [0.067], 'max_depth': [10], 'n_estimators': [250], 'num_leaves': [20]}"
82,emev,i_13a,ii_la,la_ff_final,iii_lgbm,0.036,0.946,0.100,0.812,0.100,0.814,"{'learning_rate': [0.11], 'max_depth': [10], 'n_estimators': [140], 'num_leaves': [20]}"
83,emev,i_13a,ii_rf,rf_ff_final,iii_lgbm,0.036,0.946,0.100,0.812,0.100,0.814,"{'learning_rate': [0.11], 'max_depth': [10], 'n_estimators': [140], 'num_leaves': [20]}"
84,emev,i_01cg,ii_corr,55,iii_gbrt,0.015,0.991,0.100,0.789,0.100,0.814,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [8], 'n_estimators': [250]}"
85,emev,i_13cn,ii_random,des_random_3,iii_gbrt,0.035,0.949,0.100,0.797,0.100,0.813,"{'learning_rate': [0.083], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [450]}"
86,emev,i_01cg,ii_random,des_random_9,iii_gbrt,0.004,0.999,0.100,0.812,0.100,0.813,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [16], 'n_estimators': [480]}"
87,emev,i_01cd,ii_random,des_random_5,iii_lgbm,0.013,0.993,0.100,0.819,0.100,0.813,"{'learning_rate': [0.06], 'max_depth': [14], 'n_estimators': [300], 'num_leaves': [20]}"
88,emev,i_01cd,ii_corr,60,iii_gbrt,0.014,0.992,0.100,0.795,0.100,0.813,"{'learning_rate': [0.076], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [10], 'n_estimators': [350]}"
89,emev,i_12cn,ii_rf,rf_ff_final,iii_gbrt,0.035,0.949,0.100,0.784,0.100,0.813,"{'learning_rate': [0.17], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [16], 'n_estimators': [280]}"
90,emev,i_01cl,ii_corr,55,iii_lgbm,0.020,0.983,0.100,0.832,0.100,0.813,"{'learning_rate': [0.1], 'max_depth': [14], 'n_estimators': [170], 'num_leaves': [20]}"
91,emev,i_01cn,ii_random,des_random_8,iii_gbrt,0.002,1.000,0.100,0.844,0.100,0.812,"{'learning_rate': [0.091], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [22], 'n_estimators': [350]}"
92,emev,i_01cl,ii_random,des_random_6,iii_lgbm,0.022,0.979,0.100,0.812,0.100,0.812,"{'learning_rate': [0.071], 'max_depth': [8], 'n_estimators': [190], 'num_leaves': [20]}"
93,emev,i_12a,ii_random,des_random_0,iii_gbrt,0.027,0.968,0.100,0.802,0.100,0.812,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [8], 'n_estimators': [450]}"
94,emev,i_13cn,ii_la,la_ff_final,iii_gbrt,0.001,1.000,0.100,0.819,0.100,0.811,"{'learning_rate': [0.09], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [32], 'n_estimators': [840]}"
95,emev,i_13cn,ii_rf,rf_ff_final,iii_gbrt,0.001,1.000,0.100,0.819,0.100,0.811,"{'learning_rate': [0.09], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [32], 'n_estimators': [840]}"
96,emev,i_13cn,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.041,0.928,0.100,0.822,0.100,0.811,"{'learning_rate': [0.087], 'max_depth': [16], 'n_estimators': [170], 'num_leaves': [20]}"
97,emev,i_13cn,ii_random,des_random_3,iii_lgbm,0.039,0.936,0.100,0.806,0.100,0.811,"{'learning_rate': [0.073], 'max_depth': [16], 'n_estimators': [280], 'num_leaves': [20]}"
98,emev,i_01cd,ii_random,des_random_8,iii_lgbm,0.010,0.996,0.100,0.793,0.100,0.811,"{'learning_rate': [0.065], 'max_depth': [14], 'n_estimators': [350], 'num_leaves': [20]}"
99,emev,i_01cl,ii_random,des_random_3,iii_lgbm,0.005,0.999,0.100,0.823,0.100,0.810,"{'learning_rate': [0.056], 'max_depth': [16], 'n_estimators': [570], 'num_leaves': [20]}"
100,emev,i_13cl,ii_rf,rf_ff_final,iii_lgbm,0.032,0.957,0.100,0.808,0.100,0.810,"{'learning_rate': [0.07], 'max_depth': [14], 'n_estimators': [260], 'num_leaves': [20]}"
101,emev,i_01cd,ii_corr,100,iii_gbrt,0.011,0.995,0.100,0.808,0.100,0.810,"{'learning_rate': [0.085], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [400]}"
102,emev,i_01cd,ii_random,des_random_2,iii_gbrt,0.012,0.994,0.100,0.801,0.100,0.809,"{'learning_rate': [0.055], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [14], 'n_estimators': [330]}"
