,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emev,I_01cn,II_ps,50,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00065]}
2,emev,I_13a,II_sp,52,III_la,0.100,0.868,0.100,0.846,{'alpha': [0.00034]}
3,emev,I_01cd,II_sp,140,III_la,0.000,0.910,0.100,0.845,{'alpha': [0.00037]}
4,emev,I_13cn,II_r2r,146,III_la,0.100,0.898,0.100,0.844,{'alpha': [0.00033]}
5,emev,I_01cl,II_sp,64,III_la,0.100,0.880,0.100,0.839,{'alpha': [0.0006]}
6,emev,I_12cn,II_sp,68,III_la,0.100,0.847,0.100,0.838,{'alpha': [0.00053]}
7,emev,I_01cg,II_sp,186,III_la,0.100,0.855,0.100,0.832,{'alpha': [0.002]}
8,emev,I_12a,II_ps,60,III_la,0.100,0.855,0.100,0.829,{'alpha': [0.00061]}
9,emev,I_01ch,II_r2r,144,III_la,0.000,0.914,0.100,0.824,{'alpha': [0.0003]}
10,emev,I_11a,II_sp,90,III_la,0.100,0.847,0.100,0.818,{'alpha': [0.00074]}
11,emev,I_11cl,II_r2r,132,III_la,0.100,0.840,0.100,0.814,{'alpha': [0.001]}
12,emev,I_13cl,II_r2r,50,III_la,0.100,0.856,0.100,0.813,{'alpha': [0.0008]}
13,emev,I_02cl,II_sp,154,III_la,0.100,0.860,0.100,0.812,{'alpha': [0.00055]}
14,emev,I_12cl,II_r2r,6,III_la,0.100,0.824,0.100,0.810,{'alpha': [0.00063]}
15,emev,I_01cp,II_ps,40,III_la,0.100,0.879,0.100,0.810,{'alpha': [8.1e-05]}
16,emev,I_02cn,II_r2r,90,III_la,0.100,0.840,0.100,0.806,{'alpha': [0.00059]}
17,emev,I_13cg,II_sp,167,III_la,0.100,0.879,0.100,0.806,{'alpha': [0.00071]}
18,emev,I_12cp,II_r2r,86,III_la,0.100,0.845,0.100,0.804,{'alpha': [0.00048]}
19,emev,I_01a,II_ps,84,III_la,0.100,0.849,0.100,0.803,{'alpha': [0.00049]}
