,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emev,I_01cn,II_ps,50,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00065]}
2,emev,I_01cn,II_ps,48,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00066]}
3,emev,I_01cn,II_ps,46,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00066]}
4,emev,I_01cn,II_r2r,48,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00066]}
5,emev,I_01cn,II_rr2,48,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00066]}
6,emev,I_01cn,II_sp,46,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00066]}
7,emev,I_01cn,II_sp,48,III_la,0.100,0.893,0.100,0.860,{'alpha': [0.00066]}
8,emev,I_01cn,II_ps,62,III_la,0.100,0.897,0.100,0.859,{'alpha': [0.0006]}
9,emev,I_01cn,II_ps,64,III_la,0.100,0.896,0.100,0.859,{'alpha': [0.00062]}
10,emev,I_01cn,II_sp,60,III_la,0.100,0.897,0.100,0.858,{'alpha': [0.0006]}
11,emev,I_01cn,II_ps,60,III_la,0.100,0.895,0.100,0.858,{'alpha': [0.00072]}
12,emev,I_01cn,II_sp,72,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
13,emev,I_01cn,II_r2r,70,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
14,emev,I_01cn,II_r2r,72,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
15,emev,I_01cn,II_r2r,68,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
16,emev,I_01cn,II_rr2,70,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
17,emev,I_01cn,II_rr2,72,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
18,emev,I_01cn,II_rr2,68,III_la,0.100,0.893,0.100,0.858,{'alpha': [0.0011]}
19,emev,I_01cn,II_sp,58,III_la,0.100,0.895,0.100,0.858,{'alpha': [0.00066]}
20,emev,I_01cn,II_sp,56,III_la,0.100,0.895,0.100,0.858,{'alpha': [0.00066]}
21,emev,I_01cn,II_r2r,66,III_la,0.100,0.892,0.100,0.858,{'alpha': [0.0012]}
22,emev,I_01cn,II_rr2,66,III_la,0.100,0.892,0.100,0.858,{'alpha': [0.0012]}
23,emev,I_01cn,II_r2r,132,III_la,0.100,0.891,0.100,0.858,{'alpha': [0.0024]}
24,emev,I_01cn,II_r2r,128,III_la,0.100,0.891,0.100,0.858,{'alpha': [0.0024]}
25,emev,I_01cn,II_r2r,124,III_la,0.100,0.891,0.100,0.858,{'alpha': [0.0024]}
26,emev,I_01cn,II_rr2,132,III_la,0.100,0.891,0.100,0.858,{'alpha': [0.0024]}
