,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emlb,i_01cn,ii_corr,70,iii_gbrt,1.554,0.998,12.800,0.879,13.300,0.863,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [32], 'n_estimators': [170]}"
2,emlb,i_13cl,ii_la,la_ff_final,iii_lgbm,5.115,0.980,15.400,0.824,14.300,0.843,"{'learning_rate': [0.074], 'max_depth': [16], 'n_estimators': [440], 'num_leaves': [20]}"
3,emlb,i_12cl,ii_mlr,mlr_ff_multifinal,iii_lgbm,7.583,0.956,15.800,0.816,14.300,0.842,"{'learning_rate': [0.083], 'max_depth': [8], 'n_estimators': [380], 'num_leaves': [20]}"
4,emlb,i_12cn,ii_mlr,mlr_ff_multifinal,iii_lgbm,10.364,0.918,16.000,0.811,14.300,0.841,"{'learning_rate': [0.07], 'max_depth': [10], 'n_estimators': [220], 'num_leaves': [20]}"
5,emlb,i_01cd,ii_corr,150,iii_gbrt,2.967,0.993,15.300,0.827,14.300,0.841,"{'learning_rate': [0.089], 'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [10], 'n_estimators': [350]}"
6,emlb,i_01cl,ii_random,des_random_0,iii_gbrt,2.102,0.997,14.700,0.841,14.400,0.840,"{'learning_rate': [0.096], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [12], 'n_estimators': [260]}"
7,emlb,i_12a,ii_random,des_random_4,iii_gbrt,8.113,0.950,15.700,0.817,14.500,0.838,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [6], 'n_estimators': [490]}"
8,emlb,i_01cg,ii_random,des_random_8,iii_lgbm,3.662,0.990,15.500,0.822,14.500,0.838,"{'learning_rate': [0.076], 'max_depth': [16], 'n_estimators': [230], 'num_leaves': [20]}"
9,emlb,i_13a,ii_mlr,mlr_ff_multifinal,iii_lgbm,7.079,0.962,16.000,0.811,14.500,0.838,"{'learning_rate': [0.089], 'max_depth': [14], 'n_estimators': [260], 'num_leaves': [20]}"
10,emlb,i_13cn,ii_mlr,mlr_ff_multifinal,iii_lgbm,9.651,0.929,15.600,0.820,14.800,0.830,"{'learning_rate': [0.09], 'max_depth': [14], 'n_estimators': [160], 'num_leaves': [20]}"
11,emlb,i_11a,ii_mlr,mlr_ff_multifinal,iii_gbrt,6.348,0.969,17.500,0.773,15.000,0.826,"{'learning_rate': [0.12], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [470]}"
12,emlb,i_02a,ii_la,la_ff_final,iii_gbrt,7.327,0.959,15.300,0.828,15.100,0.823,"{'learning_rate': [0.079], 'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [6], 'n_estimators': [750]}"
13,emlb,i_01ch,ii_la,la_ff_final,iii_lgbm,0.553,1.000,15.300,0.828,15.200,0.822,"{'learning_rate': [0.095], 'max_depth': [12], 'n_estimators': [430], 'num_leaves': [20]}"
14,emlb,i_13cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,3.802,0.989,18.100,0.759,15.300,0.819,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [8], 'n_estimators': [710]}"
15,emlb,i_11cl,ii_rf,rf_ff_final,iii_gbrt,9.251,0.935,16.600,0.796,15.700,0.809,"{'learning_rate': [0.08], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [6], 'n_estimators': [560]}"
16,emlb,i_11cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,13.093,0.869,19.800,0.711,15.700,0.809,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [380]}"
17,emlb,i_01cp,ii_la,la_ff_final,iii_lgbm,3.153,0.992,15.500,0.823,15.800,0.806,"{'learning_rate': [0.082], 'max_depth': [14], 'n_estimators': [180], 'num_leaves': [20]}"
18,emlb,i_02cl,ii_la,la_ff_final,iii_lgbm,7.734,0.954,17.500,0.775,15.800,0.806,"{'learning_rate': [0.069], 'max_depth': [14], 'n_estimators': [330], 'num_leaves': [20]}"
19,emlb,i_qm,ii_rf,rf_ff_final,iii_lgbm,3.939,0.988,15.900,0.813,15.900,0.806,"{'learning_rate': [0.08], 'max_depth': [8], 'n_estimators': [460], 'num_leaves': [20]}"
20,emlb,i_12cg,ii_la,la_ff_final,iii_lgbm,9.261,0.934,17.100,0.784,16.000,0.802,"{'learning_rate': [0.091], 'max_depth': [8], 'n_estimators': [370], 'num_leaves': [20]}"
21,emlb,i_12ch,ii_rf,rf_ff_final,iii_gbrt,4.573,0.984,17.400,0.775,16.000,0.802,"{'learning_rate': [0.084], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [14], 'n_estimators': [490]}"
22,emlb,i_02cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,9.680,0.928,16.800,0.791,16.000,0.801,"{'learning_rate': [0.11], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [530]}"
