,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emlb,i_01cn,ii_corr,70,iii_gbrt,1.554,0.998,12.800,0.879,13.300,0.863,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [32], 'n_estimators': [170]}"
2,emlb,i_01cn,ii_random,des_random_7,iii_lgbm,3.962,0.988,13.000,0.874,13.400,0.862,"{'learning_rate': [0.06], 'max_depth': [14], 'n_estimators': [200], 'num_leaves': [20]}"
3,emlb,i_01cn,ii_random,des_random_7,iii_gbrt,1.351,0.999,13.000,0.875,13.400,0.861,"{'learning_rate': [0.078], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [20], 'n_estimators': [270]}"
4,emlb,i_01cn,ii_corr,100,iii_gbrt,1.147,0.999,12.600,0.884,13.400,0.861,"{'learning_rate': [0.095], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [20], 'n_estimators': [230]}"
5,emlb,i_01cn,ii_corr,80,iii_lgbm,4.171,0.987,13.400,0.868,13.400,0.860,"{'learning_rate': [0.087], 'max_depth': [10], 'n_estimators': [140], 'num_leaves': [20]}"
6,emlb,i_01cn,ii_random,des_random_9,iii_gbrt,0.526,1.000,12.600,0.884,13.500,0.860,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [20], 'n_estimators': [280]}"
7,emlb,i_01cn,ii_corr,80,iii_gbrt,0.540,1.000,13.300,0.868,13.500,0.859,"{'learning_rate': [0.18], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [18], 'n_estimators': [200]}"
8,emlb,i_01cn,ii_corr,55,iii_gbrt,4.776,0.983,13.300,0.870,13.500,0.859,"{'learning_rate': [0.082], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [12], 'n_estimators': [180]}"
9,emlb,i_01cn,ii_random,des_random_5,iii_gbrt,1.331,0.999,13.300,0.869,13.500,0.859,"{'learning_rate': [0.08], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [32], 'n_estimators': [160]}"
10,emlb,i_01cn,ii_la,la_ff_final,iii_lgbm,3.180,0.992,13.000,0.876,13.600,0.857,"{'learning_rate': [0.076], 'max_depth': [12], 'n_estimators': [170], 'num_leaves': [20]}"
