,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emlb,I_01cn,II_r2r,90,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
2,emlb,I_13a,II_r2r,132,III_svm_lin,12.400,0.886,13.500,0.859,{}
3,emlb,I_01cd,II_ps,100,III_svm_lin,13.100,0.874,13.600,0.857,{}
4,emlb,I_01cg,II_r2r,104,III_svm_lin,13.800,0.860,13.800,0.853,{}
5,emlb,I_12cn,II_sp,84,III_svm_lin,14.600,0.843,13.800,0.853,{}
6,emlb,I_01cl,II_ps,84,III_svm_lin,12.800,0.879,14.000,0.849,{}
7,emlb,I_13cl,II_sp,24,III_svm_lin,14.400,0.846,14.000,0.849,{}
8,emlb,I_13cn,II_r2r,110,III_svm_lin,13.100,0.874,14.100,0.847,{}
9,emlb,I_02cl,II_ps,116,III_la,14.100,0.854,14.100,0.847,{'alpha': [0.14]}
10,emlb,I_02a,II_ps,108,III_svm_lin,12.800,0.878,14.200,0.845,{}
11,emlb,I_12a,II_sp,50,III_svm_lin,14.300,0.850,14.200,0.844,{}
12,emlb,I_12cl,II_r2r,52,III_svm_lin,14.800,0.839,14.200,0.844,{}
13,emlb,I_11a,II_r2r,64,III_svm_lin,15.600,0.821,14.700,0.832,{}
14,emlb,I_01cp,II_ps,72,III_la,13.400,0.868,14.700,0.832,{'alpha': [0.13]}
15,emlb,I_01ch,II_ps,132,III_la,12.000,0.894,14.800,0.832,{'alpha': [0.2]}
16,emlb,I_13cg,II_ps,108,III_la,12.700,0.881,14.800,0.831,{'alpha': [0.1]}
17,emlb,I_11cl,II_sp,88,III_svm_lin,15.400,0.824,14.900,0.828,{}
18,emlb,I_13cp,II_sp,98,III_svm_lin,15.100,0.832,15.200,0.823,{}
19,emlb,I_02cn,II_r2r,66,III_svm_lin,15.100,0.832,15.300,0.819,{}
20,emlb,I_11cn,II_r2r,40,III_svm_lin,18.900,0.736,15.400,0.817,{}
21,emlb,I_12cg,II_ps,142,III_la,13.700,0.861,15.400,0.817,{'alpha': [0.13]}
22,emlb,I_12ch,II_r2r,62,III_svm_lin,15.600,0.821,15.500,0.815,{}
23,emlb,I_01a,II_sp,150,III_la,13.300,0.870,15.500,0.813,{'alpha': [0.12]}
24,emlb,I_13cd,II_r2r,86,III_svm_lin,15.600,0.820,15.600,0.813,{}
25,emlb,I_12cp,II_sp,64,III_svm_lin,15.700,0.818,15.600,0.811,{}
26,emlb,I_02cg,II_ps,128,III_la,14.100,0.853,15.700,0.810,{'alpha': [0.18]}
27,emlb,I_qm,II_ps,16,III_svm_lin,15.700,0.818,15.700,0.809,{}
28,emlb,I_12cd,II_ps,76,III_la,15.500,0.822,16.100,0.801,{'alpha': [0.22]}
29,emlb,I_02cd,II_r2r,82,III_svm_lin,16.200,0.806,16.100,0.800,{}
30,emlb,I_11ch,II_r2r,64,III_svm_lin,17.300,0.778,16.300,0.794,{}
31,emlb,I_11cg,II_ps,130,III_svm_lin,18.300,0.754,16.400,0.794,{}
32,emlb,I_13ch,II_ps,114,III_la,14.100,0.854,16.500,0.789,{'alpha': [0.22]}
33,emlb,I_02cp,II_r2r,106,III_la,15.600,0.820,16.700,0.783,{'alpha': [0.39]}
34,emlb,I_09cl,II_sp,118,III_la,16.800,0.792,16.800,0.781,{'alpha': [0.33]}
35,emlb,I_02ch,II_r2r,112,III_la,14.400,0.847,16.900,0.780,{'alpha': [0.13]}
36,emlb,I_11cd,II_ps,62,III_svm_lin,20.000,0.705,17.500,0.765,{}
37,emlb,I_09ch,II_r2r,66,III_svm_lin,18.700,0.742,17.600,0.760,{}
38,emlb,I_04cn,II_ps,110,III_la,15.800,0.815,18.500,0.735,{'alpha': [0.1]}
39,emlb,I_11cp,II_ps,88,III_svm_lin,19.900,0.709,18.900,0.725,{}
40,emlb,I_09cg,II_ps,88,III_la,17.600,0.771,19.100,0.719,{'alpha': [0.26]}
41,emlb,I_04a,II_ps,116,III_la,16.200,0.805,19.400,0.709,{'alpha': [0.1]}
42,emlb,I_04cl,II_sp,120,III_la,17.300,0.780,19.500,0.707,{'alpha': [0.11]}
43,emlb,I_09cn,II_r2r,4,III_svm_lin,20.700,0.683,19.700,0.699,{}
44,emlb,I_04cp,II_r2r,96,III_la,18.900,0.737,19.900,0.694,{'alpha': [0.18]}
45,emlb,I_09cp,II_sp,76,III_la,18.700,0.743,20.100,0.687,{'alpha': [0.24]}
46,emlb,I_10cl,II_sp,6,III_mlr,22.800,0.618,20.300,0.682,{}
47,emlb,I_04cd,II_r2r,134,III_la,17.800,0.766,20.300,0.682,{'alpha': [0.1]}
48,emlb,I_10ch,II_ps,90,III_la,20.900,0.676,20.400,0.679,{'alpha': [0.36]}
49,emlb,I_04cg,II_sp,10,III_dtr,19.300,0.725,20.500,0.676,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [8]}"
50,emlb,I_04ch,II_ps,50,III_la,16.900,0.788,20.600,0.673,{'alpha': [0.051]}
51,emlb,I_10a,II_r2r,64,III_svm_lin,19.100,0.729,20.800,0.665,{}
52,emlb,I_10cn,II_ps,88,III_la,22.400,0.629,21.300,0.649,{'alpha': [0.22]}
53,emlb,I_10cd,II_sp,58,III_la,22.000,0.641,21.700,0.636,{'alpha': [0.13]}
54,emlb,I_06cp,II_ps,22,III_mlr,23.600,0.588,21.900,0.628,{}
55,emlb,I_05cl,II_ps,40,III_svm_lin,23.100,0.606,22.300,0.618,{}
56,emlb,I_02s3l,II_sp,62,III_la,25.300,0.527,22.400,0.614,{'alpha': [0.14]}
57,emlb,I_06cl,II_sp,44,III_svm_lin,22.100,0.640,22.400,0.611,{}
58,emlb,I_10cg,II_r2r,66,III_svm_lin,22.600,0.622,22.500,0.611,{}
59,emlb,I_13s3l,II_sp,56,III_dtr,24.100,0.573,22.500,0.608,"{'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [6]}"
60,emlb,I_12s3l,II_ps,32,III_la,25.600,0.515,22.700,0.601,{'alpha': [0.23]}
61,emlb,I_02s3g,II_r2r,18,III_svm_lin,26.400,0.486,22.800,0.598,{}
62,emlb,I_01s3l,II_r2r,66,III_la,25.200,0.531,23.000,0.591,{'alpha': [0.18]}
63,emlb,I_09cd,II_r2r,88,III_svm_lin,22.800,0.616,23.100,0.588,{}
64,emlb,I_08ch,II_r2r,122,III_svm_lin,24.500,0.557,23.100,0.587,{}
65,emlb,I_09a,II_ps,50,III_svm_lin,24.500,0.558,23.200,0.586,{}
66,emlb,I_06ch,II_r2r,74,III_svm_lin,23.000,0.608,23.200,0.585,{}
67,emlb,I_11s3l,II_r2r,18,III_svm_lin,27.300,0.450,23.200,0.583,{}
68,emlb,I_07cl,II_r2r,10,III_la,23.400,0.596,23.300,0.580,{'alpha': [0.21]}
69,emlb,I_05ch,II_r2r,10,III_svm_sig,25.500,0.521,23.400,0.577,"{'coef0': [0], 'gamma': [0.067]}"
70,emlb,I_01s1h,II_r2r,84,III_svm_lin,24.100,0.570,23.600,0.571,{}
71,emlb,I_05s3l,II_sp,8,III_svm_lin,27.300,0.449,23.600,0.570,{}
72,emlb,I_12s3g,II_sp,74,III_svm_lin,25.100,0.536,23.700,0.568,{}
73,emlb,I_13s3g,II_r2r,42,III_svm_lin,25.800,0.509,23.700,0.564,{}
74,emlb,I_06a,II_r2r,70,III_svm_lin,22.700,0.618,23.800,0.563,{}
75,emlb,I_02s1l,II_ps,40,III_mlr,23.100,0.605,23.900,0.557,{}
76,emlb,I_06cn,II_sp,6,III_dtr,24.900,0.544,24.000,0.557,"{'max_depth': [4], 'max_features': [6], 'max_leaf_nodes': [6]}"
77,emlb,I_13s1h,II_r2r,118,III_svm_lin,23.200,0.602,24.000,0.556,{}
78,emlb,I_02s1h,II_sp,114,III_svm_lin,23.700,0.584,24.100,0.552,{}
79,emlb,I_08cd,II_sp,40,III_svm_lin,25.000,0.538,24.100,0.552,{}
80,emlb,I_08a,II_r2r,74,III_svm_lin,24.700,0.550,24.100,0.551,{}
81,emlb,I_08cl,II_sp,66,III_la,22.200,0.636,24.200,0.549,{'alpha': [0.1]}
82,emlb,I_01s1l,II_sp,80,III_la,23.900,0.579,24.200,0.546,{'alpha': [0.5]}
83,emlb,I_12s1h,II_ps,86,III_la,22.900,0.614,24.300,0.544,{'alpha': [0.14]}
84,emlb,I_01s3p,II_ps,14,III_svm_lin,24.000,0.576,24.300,0.542,{}
85,emlb,I_09s3l,II_sp,14,III_svm_sig,27.300,0.451,24.300,0.542,"{'coef0': [0], 'gamma': [0.05]}"
86,emlb,I_02s3p,II_sp,16,III_mlr,23.700,0.584,24.400,0.540,{}
87,emlb,I_10cp,II_ps,4,III_svm_sig,24.600,0.552,24.400,0.539,"{'coef0': [0], 'gamma': [0.12]}"
88,emlb,I_07cg,II_r2r,6,III_svm_lin,25.500,0.520,24.500,0.538,{}
89,emlb,I_04s3l,II_sp,12,III_la,25.900,0.505,24.500,0.537,{'alpha': [0.0057]}
90,emlb,I_01s3g,II_sp,22,III_svm_lin,27.400,0.447,24.600,0.532,{}
91,emlb,I_06cg,II_ps,96,III_svm_lin,24.400,0.562,24.900,0.522,{}
92,emlb,I_12s3p,II_sp,56,III_svm_lin,24.400,0.560,25.100,0.515,{}
93,emlb,I_09s1l,II_sp,97,III_svm_lin,25.000,0.538,25.100,0.515,{}
94,emlb,I_13s1l,II_ps,54,III_la,23.800,0.581,25.300,0.507,{'alpha': [0.16]}
