,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,emlb,I_01cn,II_r2r,90,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
2,emlb,I_01cn,II_rr2,90,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
3,emlb,I_01cn,II_r2r,92,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
4,emlb,I_01cn,II_rr2,92,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
5,emlb,I_01cn,II_r2r,94,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
6,emlb,I_01cn,II_rr2,94,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
7,emlb,I_01cn,II_ps,90,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
8,emlb,I_01cn,II_ps,92,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
9,emlb,I_01cn,II_ps,94,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
10,emlb,I_01cn,II_sp,94,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
11,emlb,I_01cn,II_sp,92,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
12,emlb,I_01cn,II_sp,90,III_la,10.700,0.916,12.500,0.879,{'alpha': [0.1]}
13,emlb,I_01cn,II_r2r,64,III_la,10.900,0.912,12.500,0.879,{'alpha': [0.1]}
14,emlb,I_01cn,II_rr2,64,III_la,10.900,0.912,12.500,0.879,{'alpha': [0.1]}
15,emlb,I_01cn,II_ps,64,III_la,10.900,0.912,12.500,0.879,{'alpha': [0.1]}
16,emlb,I_01cn,II_r2r,84,III_la,10.700,0.915,12.500,0.879,{'alpha': [0.1]}
17,emlb,I_01cn,II_rr2,84,III_la,10.700,0.915,12.500,0.879,{'alpha': [0.1]}
18,emlb,I_01cn,II_sp,64,III_la,10.900,0.912,12.500,0.879,{'alpha': [0.1]}
19,emlb,I_01cn,II_r2r,88,III_la,10.700,0.915,12.500,0.878,{'alpha': [0.1]}
20,emlb,I_01cn,II_rr2,88,III_la,10.700,0.915,12.500,0.878,{'alpha': [0.1]}
21,emlb,I_01cn,II_ps,84,III_la,10.700,0.915,12.500,0.878,{'alpha': [0.1]}
22,emlb,I_01cn,II_ps,88,III_la,10.700,0.915,12.500,0.878,{'alpha': [0.1]}
23,emlb,I_01cn,II_sp,84,III_la,10.700,0.915,12.500,0.878,{'alpha': [0.1]}
24,emlb,I_01cn,II_sp,88,III_la,10.700,0.915,12.500,0.878,{'alpha': [0.1]}
25,emlb,I_01cn,II_r2r,62,III_la,10.900,0.912,12.600,0.878,{'alpha': [0.1]}
26,emlb,I_01cn,II_rr2,62,III_la,10.900,0.912,12.600,0.878,{'alpha': [0.1]}
27,emlb,I_01cn,II_ps,62,III_la,10.900,0.912,12.600,0.878,{'alpha': [0.1]}
28,emlb,I_01cn,II_sp,62,III_la,10.900,0.912,12.600,0.878,{'alpha': [0.1]}
29,emlb,I_01cn,II_r2r,80,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
30,emlb,I_01cn,II_rr2,80,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
31,emlb,I_01cn,II_ps,80,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
32,emlb,I_01cn,II_sp,80,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
33,emlb,I_01cn,II_ps,76,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
34,emlb,I_01cn,II_r2r,76,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
35,emlb,I_01cn,II_rr2,76,III_la,10.900,0.912,12.700,0.876,{'alpha': [0.11]}
36,emlb,I_01cn,II_sp,120,III_svm_lin,11.100,0.909,12.700,0.876,{}
37,emlb,I_01cn,II_r2r,96,III_la,10.900,0.911,12.700,0.875,{'alpha': [0.13]}
38,emlb,I_01cn,II_rr2,96,III_la,10.900,0.911,12.700,0.875,{'alpha': [0.13]}
39,emlb,I_01cn,II_sp,152,III_svm_lin,10.900,0.912,12.700,0.875,{}
40,emlb,I_01cn,II_ps,156,III_svm_lin,10.800,0.914,12.700,0.875,{}
41,emlb,I_01cn,II_ps,160,III_svm_lin,10.800,0.914,12.700,0.875,{}
42,emlb,I_01cn,II_ps,116,III_svm_lin,11.200,0.908,12.700,0.875,{}
43,emlb,I_01cn,II_ps,140,III_svm_lin,10.900,0.912,12.700,0.875,{}
44,emlb,I_01cn,II_sp,128,III_svm_lin,11.000,0.910,12.800,0.874,{}
45,emlb,I_01cn,II_sp,140,III_svm_lin,10.900,0.912,12.800,0.874,{}
46,emlb,I_01cn,II_r2r,174,III_svm_lin,10.800,0.914,12.800,0.874,{}
47,emlb,I_01cn,II_rr2,174,III_svm_lin,10.800,0.914,12.800,0.874,{}
48,emlb,I_01cn,II_ps,136,III_svm_lin,10.900,0.912,12.800,0.874,{}
49,emlb,I_01cn,II_r2r,170,III_svm_lin,10.800,0.913,12.800,0.874,{}
50,emlb,I_01cn,II_rr2,170,III_svm_lin,10.800,0.913,12.800,0.874,{}
51,emlb,I_01cn,II_sp,174,III_svm_lin,10.800,0.913,12.800,0.874,{}
52,emlb,I_01cn,II_sp,124,III_svm_lin,11.100,0.909,12.800,0.874,{}
53,emlb,I_01cn,II_ps,174,III_svm_lin,10.800,0.914,12.800,0.874,{}
54,emlb,I_01cn,II_ps,148,III_svm_lin,10.900,0.912,12.800,0.874,{}
55,emlb,I_01cn,II_r2r,166,III_svm_lin,10.800,0.914,12.800,0.874,{}
56,emlb,I_01cn,II_rr2,166,III_svm_lin,10.800,0.914,12.800,0.874,{}
57,emlb,I_01cn,II_ps,112,III_svm_lin,11.200,0.907,12.800,0.874,{}
58,emlb,I_01cn,II_ps,152,III_svm_lin,10.800,0.914,12.800,0.874,{}
59,emlb,I_01cn,II_ps,172,III_svm_lin,10.800,0.914,12.800,0.874,{}
60,emlb,I_01cn,II_ps,144,III_svm_lin,10.900,0.912,12.800,0.874,{}
61,emlb,I_01cn,II_ps,164,III_svm_lin,10.800,0.914,12.800,0.874,{}
62,emlb,I_01cn,II_ps,168,III_svm_lin,10.800,0.913,12.800,0.874,{}
63,emlb,I_01cn,II_sp,116,III_svm_lin,11.200,0.908,12.800,0.874,{}
64,emlb,I_01cn,II_ps,120,III_svm_lin,11.200,0.908,12.800,0.874,{}
65,emlb,I_01cn,II_r2r,162,III_svm_lin,10.800,0.914,12.800,0.874,{}
66,emlb,I_01cn,II_rr2,162,III_svm_lin,10.800,0.914,12.800,0.874,{}
67,emlb,I_01cn,II_r2r,160,III_svm_lin,10.800,0.914,12.800,0.874,{}
68,emlb,I_01cn,II_rr2,160,III_svm_lin,10.800,0.914,12.800,0.874,{}
69,emlb,I_01cn,II_ps,108,III_svm_lin,11.200,0.907,12.800,0.874,{}
70,emlb,I_01cn,II_sp,144,III_svm_lin,10.900,0.913,12.800,0.874,{}
71,emlb,I_01cn,II_sp,148,III_svm_lin,10.900,0.912,12.800,0.874,{}
72,emlb,I_01cn,II_sp,132,III_svm_lin,11.000,0.911,12.800,0.874,{}
73,emlb,I_01cn,II_sp,104,III_svm_lin,11.200,0.907,12.800,0.874,{}
74,emlb,I_01cn,II_sp,112,III_svm_lin,11.200,0.908,12.800,0.874,{}
75,emlb,I_01cn,II_sp,160,III_svm_lin,10.800,0.914,12.800,0.874,{}
76,emlb,I_01cn,II_sp,108,III_svm_lin,11.200,0.907,12.800,0.874,{}
77,emlb,I_01cn,II_ps,132,III_svm_lin,11.000,0.911,12.800,0.874,{}
78,emlb,I_01cn,II_sp,136,III_svm_lin,10.900,0.912,12.800,0.874,{}
79,emlb,I_01cn,II_sp,100,III_svm_lin,11.200,0.907,12.800,0.874,{}
80,emlb,I_01cn,II_ps,104,III_svm_lin,11.200,0.907,12.800,0.873,{}
81,emlb,I_01cn,II_r2r,68,III_la,11.200,0.908,12.800,0.873,{'alpha': [0.13]}
82,emlb,I_01cn,II_rr2,68,III_la,11.200,0.908,12.800,0.873,{'alpha': [0.13]}
83,emlb,I_01cn,II_ps,68,III_la,11.200,0.908,12.800,0.873,{'alpha': [0.13]}
84,emlb,I_01cn,II_r2r,146,III_la,10.500,0.918,12.800,0.873,{'alpha': [0.12]}
85,emlb,I_01cn,II_rr2,146,III_la,10.500,0.918,12.800,0.873,{'alpha': [0.12]}
86,emlb,I_01cn,II_r2r,142,III_la,10.600,0.918,12.800,0.873,{'alpha': [0.12]}
87,emlb,I_01cn,II_rr2,142,III_la,10.600,0.918,12.800,0.873,{'alpha': [0.12]}
88,emlb,I_01cn,II_r2r,138,III_la,10.600,0.918,12.800,0.873,{'alpha': [0.12]}
89,emlb,I_01cn,II_rr2,138,III_la,10.600,0.918,12.800,0.873,{'alpha': [0.12]}
90,emlb,I_01cn,II_ps,128,III_svm_lin,11.100,0.910,12.800,0.873,{}
91,emlb,I_01cn,II_r2r,158,III_svm_lin,10.800,0.913,12.800,0.873,{}
92,emlb,I_01cn,II_rr2,158,III_svm_lin,10.800,0.913,12.800,0.873,{}
93,emlb,I_01cn,II_ps,124,III_svm_lin,11.100,0.909,12.800,0.873,{}
94,emlb,I_01cn,II_sp,156,III_svm_lin,10.800,0.914,12.800,0.873,{}
95,emlb,I_01cn,II_ps,100,III_svm_lin,11.300,0.906,12.800,0.873,{}
96,emlb,I_01cn,II_ps,52,III_la,11.300,0.905,12.800,0.873,{'alpha': [0.12]}
97,emlb,I_01cn,II_ps,96,III_svm_lin,11.300,0.906,12.800,0.873,{}
98,emlb,I_01cn,II_sp,96,III_svm_lin,11.300,0.906,12.800,0.873,{}
99,emlb,I_01cn,II_r2r,120,III_svm_lin,11.000,0.910,12.800,0.873,{}
100,emlb,I_01cn,II_rr2,120,III_svm_lin,11.000,0.910,12.800,0.873,{}
101,emlb,I_01cn,II_sp,56,III_la,11.400,0.905,12.800,0.873,{'alpha': [0.13]}
102,emlb,I_01cn,II_r2r,154,III_svm_lin,10.900,0.913,12.900,0.872,{}
103,emlb,I_01cn,II_rr2,154,III_svm_lin,10.900,0.913,12.900,0.872,{}
104,emlb,I_01cn,II_r2r,104,III_svm_lin,11.200,0.907,12.900,0.872,{}
105,emlb,I_01cn,II_rr2,104,III_svm_lin,11.200,0.907,12.900,0.872,{}
106,emlb,I_01cn,II_r2r,116,III_svm_lin,11.100,0.909,12.900,0.872,{}
107,emlb,I_01cn,II_rr2,116,III_svm_lin,11.100,0.909,12.900,0.872,{}
108,emlb,I_01cn,II_r2r,112,III_svm_lin,11.200,0.907,12.900,0.872,{}
109,emlb,I_01cn,II_rr2,112,III_svm_lin,11.200,0.907,12.900,0.872,{}
110,emlb,I_01cn,II_r2r,108,III_svm_lin,11.200,0.907,12.900,0.872,{}
111,emlb,I_01cn,II_rr2,108,III_svm_lin,11.200,0.907,12.900,0.872,{}
112,emlb,I_01cn,II_ps,48,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
113,emlb,I_01cn,II_r2r,48,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
114,emlb,I_01cn,II_rr2,48,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
115,emlb,I_01cn,II_sp,48,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
116,emlb,I_01cn,II_ps,56,III_svm_lin,11.700,0.899,12.900,0.872,{}
117,emlb,I_01cn,II_r2r,56,III_svm_lin,11.700,0.899,12.900,0.872,{}
118,emlb,I_01cn,II_rr2,56,III_svm_lin,11.700,0.899,12.900,0.872,{}
119,emlb,I_01cn,II_r2r,100,III_svm_lin,11.300,0.906,12.900,0.872,{}
120,emlb,I_01cn,II_rr2,100,III_svm_lin,11.300,0.906,12.900,0.872,{}
121,emlb,I_01cn,II_r2r,52,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
122,emlb,I_01cn,II_rr2,52,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
123,emlb,I_01cn,II_sp,52,III_la,11.500,0.903,12.900,0.872,{'alpha': [0.12]}
124,emlb,I_01cn,II_ps,66,III_la,11.500,0.903,12.900,0.871,{'alpha': [0.17]}
125,emlb,I_01cn,II_r2r,44,III_la,11.500,0.903,12.900,0.871,{'alpha': [0.11]}
126,emlb,I_01cn,II_rr2,44,III_la,11.500,0.903,12.900,0.871,{'alpha': [0.11]}
