,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,integ,i_01cn,ii_random,des_random_6,iii_gbrt,19815.456,0.998,316722.400,0.540,261427.500,0.663,"{'learning_rate': [0.087], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [12], 'n_estimators': [550]}"
2,integ,i_01cd,ii_corr,70,iii_gbrt,57751.509,0.986,344654.000,0.456,266103.300,0.651,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [20], 'n_estimators': [190]}"
3,integ,i_01cg,ii_random,des_random_3,iii_gbrt,71448.019,0.979,328502.300,0.505,274962.200,0.627,"{'learning_rate': [0.077], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [310]}"
4,integ,i_01ch,ii_mlr,mlr_ff_multifinal,iii_gbrt,1301.738,1.000,311538.100,0.555,277751.400,0.620,"{'learning_rate': [0.036], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [32], 'n_estimators': [1140]}"
5,integ,i_02ch,ii_mlr,mlr_ff_multifinal,iii_lgbm,195560.430,0.840,324011.300,0.519,285641.600,0.598,"{'learning_rate': [0.093], 'max_depth': [12], 'n_estimators': [160], 'num_leaves': [20]}"
6,integ,i_13a,ii_random,des_random_1,iii_gbrt,136008.264,0.922,367114.700,0.382,289618.400,0.586,"{'learning_rate': [0.085], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [20], 'n_estimators': [350]}"
7,integ,i_01cl,ii_random,des_random_0,iii_lgbm,137706.151,0.920,334702.200,0.487,291201.100,0.582,"{'learning_rate': [0.08], 'max_depth': [12], 'n_estimators': [100], 'num_leaves': [20]}"
8,integ,i_13cn,ii_corr,60,iii_gbrt,137971.171,0.920,336731.900,0.480,292539.500,0.578,"{'learning_rate': [0.18], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10], 'n_estimators': [230]}"
9,integ,i_12a,ii_mlr,mlr_ff_multifinal,iii_gbrt,192538.827,0.844,357258.100,0.415,301244.400,0.552,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [190]}"
10,integ,i_13cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,217700.429,0.801,351533.000,0.434,302546.100,0.549,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [230]}"
