,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,integ,i_01cn,ii_random,des_random_6,iii_gbrt,19815.456,0.998,316722.400,0.540,261427.500,0.663,"{'learning_rate': [0.087], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [12], 'n_estimators': [550]}"
2,integ,i_01cn,ii_random,des_random_3,iii_gbrt,8398.619,1.000,317138.800,0.539,261576.600,0.663,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [12], 'n_estimators': [890]}"
3,integ,i_01cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,58226.321,0.986,320711.400,0.529,261772.700,0.662,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [8], 'n_estimators': [330]}"
4,integ,i_01cn,ii_random,des_random_2,iii_lgbm,132332.140,0.927,306828.600,0.569,261827.000,0.662,"{'learning_rate': [0.072], 'max_depth': [12], 'n_estimators': [130], 'num_leaves': [20]}"
5,integ,i_01cn,ii_mlr,mlr_ff_multifinal,iii_lgbm,127103.633,0.932,309127.300,0.562,266015.000,0.651,"{'learning_rate': [0.07], 'max_depth': [12], 'n_estimators': [120], 'num_leaves': [20]}"
6,integ,i_01cd,ii_corr,70,iii_gbrt,57751.509,0.986,344654.000,0.456,266103.300,0.651,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [20], 'n_estimators': [190]}"
7,integ,i_01cn,ii_random,des_random_7,iii_gbrt,10759.034,1.000,295954.500,0.599,267661.300,0.647,"{'learning_rate': [0.15], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [16], 'n_estimators': [260]}"
8,integ,i_01cn,ii_random,des_random_1,iii_gbrt,214.376,1.000,350672.300,0.436,267772.700,0.646,"{'learning_rate': [0.16], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [32], 'n_estimators': [320]}"
9,integ,i_01cd,ii_random,des_random_1,iii_gbrt,63506.494,0.983,342433.800,0.463,268498.400,0.644,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [300]}"
10,integ,i_01cn,ii_corr,70,iii_lgbm,85157.253,0.970,323807.700,0.520,269571.600,0.642,"{'learning_rate': [0.11], 'max_depth': [12], 'n_estimators': [140], 'num_leaves': [20]}"
11,integ,i_01cd,ii_mlr,mlr_ff_multifinal,iii_gbrt,59531.107,0.985,344126.000,0.457,269815.500,0.641,"{'learning_rate': [0.062], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [16], 'n_estimators': [270]}"
12,integ,i_01cn,ii_random,des_random_7,iii_lgbm,35468.643,0.995,314205.500,0.548,270113.600,0.640,"{'learning_rate': [0.1], 'max_depth': [14], 'n_estimators': [330], 'num_leaves': [20]}"
13,integ,i_01cn,ii_random,des_random_4,iii_lgbm,163217.189,0.888,327441.700,0.509,270326.800,0.640,"{'learning_rate': [0.11], 'max_depth': [4], 'n_estimators': [140], 'num_leaves': [20]}"
14,integ,i_01cn,ii_corr,70,iii_gbrt,61068.416,0.984,326170.500,0.512,271268.800,0.637,"{'learning_rate': [0.065], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [10], 'n_estimators': [420]}"
15,integ,i_01cd,ii_random,des_random_7,iii_gbrt,59065.431,0.985,343812.500,0.458,271847.500,0.636,"{'learning_rate': [0.058], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [20], 'n_estimators': [270]}"
16,integ,i_01cn,ii_random,des_random_6,iii_lgbm,114327.294,0.945,313813.300,0.549,272314.400,0.634,"{'learning_rate': [0.1], 'max_depth': [10], 'n_estimators': [110], 'num_leaves': [20]}"
17,integ,i_01cn,ii_random,des_random_4,iii_gbrt,47455.210,0.991,324713.400,0.517,272479.800,0.634,"{'learning_rate': [0.074], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [12], 'n_estimators': [390]}"
18,integ,i_01cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,111835.299,0.948,356737.000,0.417,273640.500,0.631,"{'learning_rate': [0.1], 'max_depth': [14], 'n_estimators': [100], 'num_leaves': [20]}"
19,integ,i_01cn,ii_random,des_random_5,iii_gbrt,66716.277,0.981,342096.700,0.464,273660.800,0.631,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10], 'n_estimators': [220]}"
20,integ,i_01cd,ii_random,des_random_0,iii_gbrt,108559.006,0.951,345923.700,0.452,274110.800,0.629,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [170]}"
21,integ,i_01cn,ii_random,des_random_2,iii_gbrt,55825.933,0.987,290440.100,0.613,274157.400,0.629,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [8], 'n_estimators': [310]}"
