,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,integ,I_01cn,II_ps,8,III_la,285167.600,0.627,265551.600,0.652,{'alpha': [199.0]}
2,integ,I_01cd,II_ps,4,III_mlr,321929.500,0.525,274185.600,0.629,{}
3,integ,I_01ch,II_r2r,4,III_la,298525.400,0.592,277049.600,0.621,{'alpha': [1e-06]}
4,integ,I_01cg,II_sp,6,III_la,307598.500,0.566,280373.900,0.612,{'alpha': [199.0]}
5,integ,I_02ch,II_ps,4,III_la,311421.800,0.556,280789.300,0.611,{'alpha': [199.0]}
6,integ,I_13cn,II_r2r,18,III_mlr,308521.600,0.564,283799.200,0.603,{}
7,integ,I_02cn,II_r2r,28,III_la,314475.300,0.547,289210.300,0.588,{'alpha': [199.0]}
8,integ,I_11ch,II_sp,22,III_mlr,303473.700,0.578,293444.300,0.575,{}
9,integ,I_13a,II_ps,18,III_la,326920.000,0.510,294731.100,0.572,{'alpha': [199.0]}
10,integ,I_01cp,II_r2r,90,III_dtr,318113.500,0.536,298017.000,0.562,"{'max_depth': [2], 'max_features': [40], 'max_leaf_nodes': [4]}"
11,integ,I_02a,II_sp,24,III_la,314568.300,0.547,300057.700,0.556,{'alpha': [199.0]}
12,integ,I_12cn,II_r2r,16,III_la,314183.200,0.548,305847.700,0.539,{'alpha': [199.0]}
13,integ,I_13cd,II_r2r,4,III_mlr,335134.400,0.485,305951.400,0.538,{}
14,integ,I_01cl,II_r2r,122,III_dtr,306981.300,0.568,307607.500,0.533,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
15,integ,I_02cg,II_ps,18,III_mlr,332063.600,0.495,307849.400,0.533,{}
16,integ,I_12a,II_sp,12,III_la,333059.600,0.492,310063.500,0.526,{'alpha': [1e-06]}
17,integ,I_13cg,II_r2r,4,III_la,336188.600,0.482,310465.200,0.525,{'alpha': [199.0]}
18,integ,I_13ch,II_ps,44,III_la,268069.900,0.671,310952.200,0.523,{'alpha': [199.0]}
19,integ,I_12ch,II_sp,16,III_la,306617.600,0.569,311250.000,0.522,{'alpha': [199.0]}
20,integ,I_12cg,II_ps,14,III_la,332201.900,0.494,312001.400,0.520,{'alpha': [199.0]}
21,integ,I_12cl,II_sp,4,III_la,317301.100,0.539,312087.300,0.520,{'alpha': [71.0]}
22,integ,I_12cp,II_sp,72,III_la,268405.700,0.670,313276.500,0.516,{'alpha': [199.0]}
23,integ,I_13cp,II_sp,4,III_la,347771.700,0.446,314579.700,0.512,{'alpha': [199.0]}
24,integ,I_11cn,II_sp,8,III_mlr,336770.800,0.480,316058.200,0.507,{}
25,integ,I_13cl,II_ps,4,III_la,321300.600,0.527,317182.200,0.504,{'alpha': [199.0]}
26,integ,I_02cp,II_ps,16,III_la,323152.700,0.521,322761.900,0.486,{'alpha': [199.0]}
27,integ,I_12cd,II_r2r,4,III_la,326551.200,0.511,323789.000,0.483,{'alpha': [199.0]}
