,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,integ,I_01cn,II_ps,8,III_la,285167.600,0.627,265551.600,0.652,{'alpha': [199.0]}
2,integ,I_01cn,II_r2r,4,III_la,285944.400,0.625,266074.500,0.651,{'alpha': [199.0]}
3,integ,I_01cn,II_rr2,4,III_la,285944.400,0.625,266074.500,0.651,{'alpha': [199.0]}
4,integ,I_01cn,II_ps,4,III_la,285944.400,0.625,266074.500,0.651,{'alpha': [199.0]}
5,integ,I_01cn,II_sp,4,III_la,285944.400,0.625,266074.500,0.651,{'alpha': [199.0]}
6,integ,I_01cn,II_sp,6,III_la,285932.000,0.625,266115.800,0.651,{'alpha': [199.0]}
7,integ,I_01cn,II_ps,6,III_la,285222.900,0.627,266181.300,0.651,{'alpha': [199.0]}
8,integ,I_01cn,II_r2r,6,III_la,285222.700,0.627,266189.100,0.651,{'alpha': [199.0]}
9,integ,I_01cn,II_rr2,6,III_la,285222.700,0.627,266189.100,0.651,{'alpha': [199.0]}
10,integ,I_01cn,II_sp,8,III_la,284471.800,0.629,267524.700,0.647,{'alpha': [199.0]}
11,integ,I_01cn,II_sp,18,III_la,275706.500,0.652,267707.900,0.647,{'alpha': [199.0]}
12,integ,I_01cn,II_r2r,8,III_la,284527.000,0.629,268383.600,0.645,{'alpha': [199.0]}
13,integ,I_01cn,II_rr2,8,III_la,284527.000,0.629,268383.600,0.645,{'alpha': [199.0]}
14,integ,I_01cn,II_r2r,10,III_la,282465.800,0.634,270024.900,0.640,{'alpha': [199.0]}
15,integ,I_01cn,II_rr2,10,III_la,282465.800,0.634,270024.900,0.640,{'alpha': [199.0]}
16,integ,I_01cn,II_ps,10,III_la,282466.100,0.634,270031.900,0.640,{'alpha': [199.0]}
17,integ,I_01cn,II_sp,20,III_la,275152.400,0.653,270748.800,0.639,{'alpha': [199.0]}
18,integ,I_01cn,II_r2r,16,III_la,274992.500,0.653,271300.200,0.637,{'alpha': [199.0]}
19,integ,I_01cn,II_rr2,16,III_la,274992.500,0.653,271300.200,0.637,{'alpha': [199.0]}
20,integ,I_01cn,II_ps,18,III_la,274673.800,0.654,271644.000,0.636,{'alpha': [199.0]}
21,integ,I_01cn,II_r2r,18,III_la,274673.800,0.654,271645.600,0.636,{'alpha': [199.0]}
22,integ,I_01cn,II_rr2,18,III_la,274673.800,0.654,271645.600,0.636,{'alpha': [199.0]}
23,integ,I_01cn,II_sp,34,III_la,257924.600,0.695,272368.600,0.634,{'alpha': [199.0]}
24,integ,I_01cn,II_r2r,14,III_la,278567.300,0.644,272442.600,0.634,{'alpha': [199.0]}
25,integ,I_01cn,II_rr2,14,III_la,278567.300,0.644,272442.600,0.634,{'alpha': [199.0]}
26,integ,I_01cn,II_ps,14,III_la,278567.000,0.644,272445.700,0.634,{'alpha': [199.0]}
27,integ,I_01cn,II_sp,16,III_la,278084.500,0.646,272467.400,0.634,{'alpha': [199.0]}
28,integ,I_01cn,II_ps,16,III_la,278084.300,0.646,272482.000,0.634,{'alpha': [199.0]}
29,integ,I_01cn,II_sp,22,III_la,274508.900,0.655,272514.600,0.634,{'alpha': [199.0]}
30,integ,I_01cn,II_sp,14,III_la,278445.700,0.645,272751.600,0.633,{'alpha': [199.0]}
31,integ,I_01cn,II_r2r,12,III_la,278803.100,0.644,272794.500,0.633,{'alpha': [199.0]}
32,integ,I_01cn,II_rr2,12,III_la,278803.100,0.644,272794.500,0.633,{'alpha': [199.0]}
33,integ,I_01cn,II_ps,12,III_la,278803.000,0.644,272795.300,0.633,{'alpha': [199.0]}
34,integ,I_01cn,II_sp,10,III_la,279083.700,0.643,273321.900,0.632,{'alpha': [199.0]}
35,integ,I_01cn,II_sp,12,III_la,278764.700,0.644,273570.700,0.631,{'alpha': [199.0]}
36,integ,I_01cn,II_sp,36,III_la,256154.700,0.699,274073.700,0.630,{'alpha': [199.0]}
37,integ,I_01cd,II_ps,4,III_mlr,321929.500,0.525,274185.600,0.629,{}
38,integ,I_01cn,II_r2r,26,III_la,267054.900,0.673,274466.500,0.629,{'alpha': [199.0]}
39,integ,I_01cn,II_rr2,26,III_la,267054.900,0.673,274466.500,0.629,{'alpha': [199.0]}
40,integ,I_01cn,II_ps,24,III_la,268599.800,0.669,274482.400,0.628,{'alpha': [199.0]}
41,integ,I_01cn,II_r2r,24,III_la,268600.000,0.669,274483.200,0.628,{'alpha': [199.0]}
42,integ,I_01cn,II_rr2,24,III_la,268600.000,0.669,274483.200,0.628,{'alpha': [199.0]}
43,integ,I_01cn,II_sp,32,III_la,259300.700,0.692,274591.500,0.628,{'alpha': [199.0]}
44,integ,I_01cd,II_ps,6,III_la,321470.400,0.526,275926.700,0.625,{'alpha': [199.0]}
45,integ,I_01cn,II_sp,24,III_la,269928.700,0.666,276296.000,0.624,{'alpha': [199.0]}
46,integ,I_01cn,II_ps,36,III_la,253369.200,0.706,276381.600,0.623,{'alpha': [199.0]}
47,integ,I_01cd,II_r2r,4,III_la,321522.700,0.526,276482.200,0.623,{'alpha': [199.0]}
48,integ,I_01cd,II_rr2,4,III_la,321522.700,0.526,276482.200,0.623,{'alpha': [199.0]}
49,integ,I_01ch,II_r2r,4,III_la,298525.400,0.592,277049.600,0.621,{'alpha': [1e-06]}
50,integ,I_01ch,II_rr2,4,III_la,298525.400,0.592,277049.600,0.621,{'alpha': [1e-06]}
51,integ,I_01ch,II_ps,4,III_la,298525.400,0.592,277049.600,0.621,{'alpha': [1e-06]}
52,integ,I_01cn,II_r2r,22,III_la,272145.100,0.661,277434.300,0.620,{'alpha': [199.0]}
53,integ,I_01cn,II_rr2,22,III_la,272145.100,0.661,277434.300,0.620,{'alpha': [199.0]}
54,integ,I_01cn,II_ps,22,III_la,272145.400,0.661,277441.800,0.620,{'alpha': [199.0]}
55,integ,I_01ch,II_sp,10,III_la,292898.600,0.607,277460.800,0.620,{'alpha': [199.0]}
