,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,ltl10,I_02cn,II_sp,60,III_svm_lin,0.200,0.709,0.200,0.745,{}
2,ltl10,I_02ch,II_sp,4,III_svm_lin,0.200,0.600,0.200,0.707,{}
3,ltl10,I_01cn,II_sp,56,III_svm_lin,0.200,0.714,0.200,0.666,{}
4,ltl10,I_02cp,II_r2r,42,III_svm_lin,0.200,0.617,0.200,0.651,{}
5,ltl10,I_02a,II_sp,72,III_svm_rbf,0.100,0.846,0.200,0.648,{'gamma': [0.01]}
6,ltl10,I_11ch,II_sp,36,III_svm_lin,0.200,0.612,0.200,0.640,{}
7,ltl10,I_02cg,II_r2r,34,III_svm_lin,0.200,0.614,0.200,0.636,{}
8,ltl10,I_01cg,II_sp,48,III_svm_rbf,0.200,0.768,0.200,0.635,{'gamma': [0.03]}
9,ltl10,I_01cl,II_sp,152,III_svm_rbf,0.200,0.759,0.200,0.633,{'gamma': [0.0034]}
10,ltl10,I_01cp,II_ps,100,III_svm_rbf,0.200,0.760,0.200,0.625,{'gamma': [0.0066]}
11,ltl10,I_13a,II_r2r,144,III_la,0.200,0.762,0.200,0.617,{'alpha': [0.001]}
12,ltl10,I_13ch,II_r2r,16,III_svm_lin,0.200,0.626,0.200,0.610,{}
13,ltl10,I_01cd,II_ps,82,III_svm_rbf,0.200,0.759,0.200,0.610,{'gamma': [0.01]}
14,ltl10,I_12ch,II_ps,20,III_svm_lin,0.200,0.646,0.200,0.609,{}
15,ltl10,I_01ch,II_ps,20,III_mlr,0.200,0.685,0.200,0.605,{}
16,ltl10,I_12a,II_r2r,30,III_svm_lin,0.200,0.562,0.200,0.602,{}
17,ltl10,I_02cl,II_ps,98,III_la,0.200,0.725,0.200,0.601,{'alpha': [0.0026]}
18,ltl10,I_11cg,II_r2r,20,III_svm_lin,0.200,0.523,0.200,0.594,{}
19,ltl10,I_12cg,II_sp,4,III_svm_lin,0.200,0.518,0.200,0.589,{}
20,ltl10,I_02cd,II_ps,133,III_svm_rbf,0.100,0.910,0.200,0.583,{'gamma': [0.013]}
21,ltl10,I_13cg,II_sp,40,III_svm_sig,0.200,0.520,0.200,0.576,"{'coef0': [0], 'gamma': [0.0031]}"
22,ltl10,I_01a,II_ps,50,III_svm_lin,0.200,0.611,0.200,0.575,{}
