,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,ltl10,I_02cn,II_sp,60,III_svm_lin,0.200,0.709,0.200,0.745,{}
2,ltl10,I_02cn,II_sp,54,III_svm_lin,0.200,0.690,0.200,0.743,{}
3,ltl10,I_02cn,II_sp,44,III_svm_lin,0.200,0.660,0.200,0.741,{}
4,ltl10,I_02cn,II_sp,58,III_svm_lin,0.200,0.709,0.200,0.739,{}
5,ltl10,I_02cn,II_sp,56,III_svm_lin,0.200,0.708,0.200,0.739,{}
6,ltl10,I_02cn,II_sp,46,III_svm_lin,0.200,0.670,0.200,0.736,{}
7,ltl10,I_02cn,II_sp,50,III_svm_lin,0.200,0.675,0.200,0.735,{}
8,ltl10,I_02cn,II_ps,46,III_svm_lin,0.200,0.665,0.200,0.732,{}
9,ltl10,I_02cn,II_ps,48,III_svm_lin,0.200,0.665,0.200,0.731,{}
10,ltl10,I_02cn,II_sp,52,III_svm_lin,0.200,0.684,0.200,0.730,{}
11,ltl10,I_02cn,II_sp,48,III_svm_lin,0.200,0.672,0.200,0.729,{}
12,ltl10,I_02cn,II_sp,42,III_svm_lin,0.200,0.662,0.200,0.729,{}
13,ltl10,I_02cn,II_sp,76,III_svm_lin,0.200,0.734,0.200,0.728,{}
14,ltl10,I_02cn,II_sp,66,III_svm_lin,0.200,0.724,0.200,0.726,{}
15,ltl10,I_02cn,II_sp,70,III_svm_lin,0.200,0.730,0.200,0.725,{}
16,ltl10,I_02cn,II_ps,64,III_svm_lin,0.200,0.686,0.200,0.725,{}
17,ltl10,I_02cn,II_sp,78,III_svm_lin,0.200,0.737,0.200,0.724,{}
18,ltl10,I_02cn,II_ps,40,III_svm_lin,0.200,0.670,0.200,0.723,{}
19,ltl10,I_02cn,II_sp,72,III_svm_lin,0.200,0.734,0.200,0.722,{}
20,ltl10,I_02cn,II_sp,74,III_svm_lin,0.200,0.731,0.200,0.722,{}
21,ltl10,I_02cn,II_ps,44,III_svm_lin,0.200,0.668,0.200,0.722,{}
