,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,sigma,i_01cl,ii_random,des_random_2,iii_gbrt,0.002,0.999,0.000,0.752,0.000,0.740,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [50], 'n_estimators': [150]}"
2,sigma,i_01cd,ii_corr,150,iii_gbrt,0.002,0.998,0.000,0.729,0.000,0.714,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [55], 'max_leaf_nodes': [44], 'n_estimators': [90]}"
3,sigma,i_12a,ii_random,des_random_3,iii_gbrt,0.017,0.881,0.000,0.731,0.000,0.712,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [240]}"
4,sigma,i_01cg,ii_corr,150,iii_gbrt,0.008,0.969,0.000,0.745,0.000,0.711,"{'learning_rate': [0.095], 'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [14], 'n_estimators': [100]}"
5,sigma,i_01cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.009,0.968,0.000,0.765,0.000,0.709,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [63], 'max_leaf_nodes': [10], 'n_estimators': [190]}"
6,sigma,i_13a,ii_corr,55,iii_lgbm,0.017,0.873,0.000,0.744,0.000,0.700,"{'learning_rate': [0.13], 'max_depth': [10], 'n_estimators': [120], 'num_leaves': [20]}"
7,sigma,i_02cl,ii_rf,rf_ff_final,iii_gbrt,0.011,0.945,0.000,0.720,0.000,0.695,"{'learning_rate': [0.079], 'max_depth': [4], 'max_features': [80], 'max_leaf_nodes': [16], 'n_estimators': [210]}"
8,sigma,i_01cp,ii_random,des_random_1,iii_gbrt,0.002,0.998,0.000,0.768,0.000,0.695,"{'learning_rate': [0.065], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [26], 'n_estimators': [250]}"
9,sigma,i_02cg,ii_rf,rf_ff_final,iii_gbrt,0.010,0.959,0.000,0.686,0.000,0.677,"{'learning_rate': [0.17], 'max_depth': [6], 'max_features': [70], 'max_leaf_nodes': [12], 'n_estimators': [120]}"
10,sigma,i_02a,ii_corr,80,iii_gbrt,0.016,0.883,0.000,0.680,0.000,0.675,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [12], 'n_estimators': [90]}"
11,sigma,i_11a,ii_corr,35,iii_gbrt,0.016,0.885,0.000,0.697,0.000,0.674,"{'learning_rate': [0.19], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [220]}"
12,sigma,i_01a,ii_random,des_random_6,iii_gbrt,0.001,1.000,0.000,0.686,0.000,0.672,"{'learning_rate': [0.076], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [14], 'n_estimators': [440]}"
13,sigma,i_01ch,ii_random,des_random_1,iii_gbrt,0.002,0.999,0.000,0.739,0.000,0.668,"{'learning_rate': [0.075], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [20], 'n_estimators': [320]}"
14,sigma,i_12cl,ii_corr,150,iii_gbrt,0.018,0.866,0.000,0.670,0.000,0.667,"{'learning_rate': [0.07], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [8], 'n_estimators': [240]}"
15,sigma,i_02cn,ii_corr,100,iii_rf,0.017,0.872,0.000,0.693,0.000,0.656,"{'max_depth': [14], 'max_features': [99], 'max_leaf_nodes': [50], 'n_estimators': [110]}"
16,sigma,i_02cd,ii_corr,200,iii_gbrt,0.016,0.887,0.000,0.685,0.000,0.650,"{'learning_rate': [0.082], 'max_depth': [4], 'max_features': [50], 'max_leaf_nodes': [12], 'n_estimators': [160]}"
17,sigma,i_11cl,ii_rf,rf_ff_final,iii_gbrt,0.017,0.871,0.000,0.639,0.000,0.649,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [55], 'max_leaf_nodes': [8], 'n_estimators': [200]}"
18,sigma,i_13cl,ii_rf,rf_ff_final,iii_gbrt,0.019,0.844,0.000,0.669,0.000,0.648,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10], 'n_estimators': [130]}"
19,sigma,i_12cp,ii_la,la_ff_final,iii_lgbm,0.020,0.820,0.000,0.602,0.000,0.647,"{'learning_rate': [0.079], 'max_depth': [12], 'n_estimators': [110], 'num_leaves': [20]}"
20,sigma,i_02cp,ii_la,la_ff_final,iii_gbrt,0.020,0.820,0.000,0.673,0.000,0.646,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [8], 'n_estimators': [120]}"
21,sigma,i_13cp,ii_rf,rf_ff_final,iii_gbrt,0.016,0.885,0.000,0.666,0.000,0.644,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [110]}"
22,sigma,i_12cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.014,0.915,0.000,0.660,0.000,0.644,"{'learning_rate': [0.087], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [10], 'n_estimators': [240]}"
23,sigma,i_13cd,ii_rf,rf_ff_final,iii_gbrt,0.020,0.828,0.000,0.690,0.000,0.631,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [8], 'n_estimators': [170]}"
24,sigma,i_13cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.015,0.902,0.000,0.671,0.000,0.628,"{'learning_rate': [0.085], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [140]}"
25,sigma,i_11cp,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.020,0.826,0.000,0.585,0.000,0.625,"{'learning_rate': [0.093], 'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [10], 'n_estimators': [170]}"
26,sigma,i_13cn,ii_random,des_random_2,iii_gbrt,0.023,0.762,0.000,0.656,0.000,0.617,"{'learning_rate': [0.1], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [6], 'n_estimators': [180]}"
27,sigma,i_12cd,ii_corr,100,iii_gbrt,0.020,0.820,0.000,0.602,0.000,0.612,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [12], 'n_estimators': [140]}"
28,sigma,i_12cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.022,0.790,0.000,0.624,0.000,0.612,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [250]}"
29,sigma,i_13ch,ii_corr,150,iii_gbrt,0.012,0.941,0.000,0.725,0.000,0.602,"{'learning_rate': [0.086], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [20], 'n_estimators': [140]}"
30,sigma,i_12ch,ii_random,des_random_9,iii_lgbm,0.020,0.832,0.000,0.629,0.000,0.602,"{'learning_rate': [0.081], 'max_depth': [8], 'n_estimators': [210], 'num_leaves': [20]}"
31,sigma,i_11cg,ii_random,des_random_9,iii_gbrt,0.019,0.836,0.000,0.542,0.000,0.600,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [10], 'n_estimators': [160]}"
32,sigma,i_02ch,ii_corr,200,iii_gbrt,0.019,0.837,0.000,0.683,0.000,0.596,"{'learning_rate': [0.097], 'max_depth': [4], 'max_features': [30], 'max_leaf_nodes': [8], 'n_estimators': [130]}"
33,sigma,i_12s3l,ii_random,des_random_1,iii_gbrt,0.025,0.724,0.000,0.516,0.000,0.581,"{'learning_rate': [0.17], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [100]}"
34,sigma,i_11ch,ii_random,des_random_1,iii_rf,0.019,0.842,0.000,0.648,0.000,0.580,"{'max_depth': [22], 'max_features': [35], 'max_leaf_nodes': [50], 'n_estimators': [310]}"
35,sigma,i_13s3g,ii_random,des_random_2,iii_rf,0.026,0.702,0.000,0.507,0.000,0.579,"{'max_depth': [18], 'max_features': [53], 'max_leaf_nodes': [42], 'n_estimators': [1740]}"
36,sigma,i_13s3l,ii_random,des_random_5,iii_rf,0.026,0.712,0.000,0.534,0.000,0.578,"{'max_depth': [28], 'max_features': [25], 'max_leaf_nodes': [50], 'n_estimators': [2100]}"
37,sigma,i_12s3g,ii_corr,55,iii_rf,0.027,0.686,0.000,0.502,0.000,0.575,"{'max_depth': [12], 'max_features': [53], 'max_leaf_nodes': [48], 'n_estimators': [50]}"
38,sigma,i_11cn,ii_rf,rf_ff_final,iii_lgbm,0.027,0.679,0.000,0.561,0.000,0.574,"{'learning_rate': [0.1], 'max_depth': [8], 'n_estimators': [90], 'num_leaves': [20]}"
39,sigma,i_10a,ii_random,des_random_8,iii_lgbm,0.028,0.663,0.000,0.488,0.000,0.573,"{'learning_rate': [0.11], 'max_depth': [12], 'n_estimators': [260], 'num_leaves': [20]}"
40,sigma,i_01s3g,ii_random,des_random_4,iii_gbrt,0.024,0.757,0.000,0.493,0.000,0.569,"{'learning_rate': [0.085], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [18], 'n_estimators': [110]}"
41,sigma,i_11s3g,ii_random,des_random_2,iii_rf,0.028,0.662,0.000,0.506,0.000,0.562,"{'max_depth': [12], 'max_features': [25], 'max_leaf_nodes': [38], 'n_estimators': [60]}"
42,sigma,i_01s3l,ii_random,des_random_3,iii_gbrt,0.024,0.742,0.000,0.545,0.000,0.558,"{'learning_rate': [0.074], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [8], 'n_estimators': [510]}"
43,sigma,i_02s3l,ii_corr,80,iii_lgbm,0.027,0.682,0.000,0.493,0.000,0.548,"{'learning_rate': [0.33], 'max_depth': [14], 'n_estimators': [50], 'num_leaves': [20]}"
44,sigma,i_10cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.026,0.705,0.000,0.588,0.000,0.546,"{'learning_rate': [0.14], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [6], 'n_estimators': [130]}"
45,sigma,i_02s3g,ii_rf,rf_ff_final,iii_lgbm,0.026,0.695,0.000,0.446,0.000,0.539,"{'learning_rate': [0.15], 'max_depth': [10], 'n_estimators': [80], 'num_leaves': [20]}"
46,sigma,i_10cn,ii_rf,rf_ff_final,iii_lgbm,0.032,0.549,0.000,0.482,0.000,0.535,"{'learning_rate': [0.1], 'max_depth': [10], 'n_estimators': [560], 'num_leaves': [20]}"
47,sigma,i_10cp,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.030,0.617,0.000,0.486,0.000,0.529,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [8], 'n_estimators': [40]}"
48,sigma,i_10cl,ii_rf,rf_ff_final,iii_gbrt,0.026,0.704,0.000,0.551,0.000,0.528,"{'learning_rate': [0.082], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [280]}"
49,sigma,i_11s3l,ii_la,la_ff_final,iii_lgbm,0.028,0.663,0.000,0.387,0.000,0.525,"{'learning_rate': [0.077], 'max_depth': [14], 'n_estimators': [240], 'num_leaves': [20]}"
50,sigma,i_02s1l,ii_corr,15,iii_gbrt,0.033,0.517,0.000,0.421,0.000,0.492,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [13], 'max_leaf_nodes': [8], 'n_estimators': [70]}"
51,sigma,i_10s3g,ii_mlr,mlr_ff_multifinal,iii_rf,0.031,0.569,0.000,0.363,0.000,0.491,"{'max_depth': [12], 'max_features': [17], 'max_leaf_nodes': [28], 'n_estimators': [1220]}"
52,sigma,i_13s1l,ii_random,des_random_8,iii_gbrt,0.032,0.553,0.000,0.444,0.000,0.490,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10], 'n_estimators': [90]}"
53,sigma,i_11cd,ii_random,des_random_5,iii_gbrt,0.028,0.667,0.000,0.524,0.000,0.487,"{'learning_rate': [0.091], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [150]}"
54,sigma,i_12s1l,ii_random,des_random_9,iii_gbrt,0.032,0.560,0.000,0.405,0.000,0.485,"{'learning_rate': [0.13], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [140]}"
55,sigma,i_11s1l,ii_random,des_random_5,iii_rf,0.033,0.528,0.000,0.422,0.000,0.470,"{'max_depth': [10], 'max_features': [15], 'max_leaf_nodes': [32], 'n_estimators': [60]}"
56,sigma,i_12s1h,ii_random,des_random_8,iii_rf,0.032,0.565,0.000,0.462,0.000,0.468,"{'max_depth': [14], 'max_features': [15], 'max_leaf_nodes': [34], 'n_estimators': [1390]}"
57,sigma,i_01s1l,ii_corr,45,iii_gbrt,0.029,0.622,0.000,0.412,0.000,0.467,"{'learning_rate': [0.098], 'max_depth': [4], 'max_features': [30], 'max_leaf_nodes': [12], 'n_estimators': [60]}"
58,sigma,i_02s1h,ii_la,la_ff_final,iii_gbrt,0.031,0.580,0.000,0.427,0.000,0.466,"{'learning_rate': [0.09], 'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [10], 'n_estimators': [40]}"
59,sigma,i_01s3p,ii_random,des_random_8,iii_gbrt,0.030,0.602,0.000,0.399,0.000,0.441,"{'learning_rate': [0.059], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [28], 'n_estimators': [110]}"
60,sigma,i_13s1h,ii_random,des_random_9,iii_rf,0.032,0.556,0.000,0.424,0.000,0.432,"{'max_depth': [12], 'max_features': [41], 'max_leaf_nodes': [22], 'n_estimators': [30]}"
61,sigma,i_11s1h,ii_random,des_random_9,iii_rf,0.033,0.516,0.000,0.384,0.000,0.429,"{'max_depth': [14], 'max_features': [18], 'max_leaf_nodes': [26], 'n_estimators': [20]}"
62,sigma,i_10ch,ii_rf,rf_ff_final,iii_la,0.033,0.517,0.000,0.479,0.000,0.421,{'alpha': [0.00045]}
63,sigma,i_02s3p,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.033,0.525,0.000,0.374,0.000,0.418,"{'learning_rate': [0.086], 'max_depth': [4], 'max_features': [60], 'max_leaf_nodes': [16], 'n_estimators': [60]}"
64,sigma,i_01s1h,ii_random,des_random_1,iii_lgbm,0.025,0.717,0.000,0.349,0.000,0.410,"{'learning_rate': [0.1], 'max_depth': [12], 'n_estimators': [30], 'num_leaves': [20]}"
65,sigma,i_12s1p,ii_random,des_random_4,iii_gbrt,0.030,0.600,0.000,0.390,0.000,0.408,"{'learning_rate': [0.062], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [190]}"
66,sigma,i_13s1p,ii_corr,60,iii_gbrt,0.028,0.663,0.000,0.441,0.000,0.406,"{'learning_rate': [0.15], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [50], 'n_estimators': [110]}"
67,sigma,i_13s3p,ii_random,des_random_8,iii_lgbm,0.034,0.500,0.000,0.365,0.000,0.406,"{'learning_rate': [0.15], 'max_depth': [12], 'n_estimators': [100], 'num_leaves': [20]}"
68,sigma,i_10cd,ii_random,des_random_6,iii_rf,0.034,0.493,0.000,0.426,0.000,0.405,"{'max_depth': [8], 'max_features': [20], 'max_leaf_nodes': [26], 'n_estimators': [100]}"
69,sigma,i_11s1p,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.029,0.630,0.000,0.371,0.000,0.397,"{'learning_rate': [0.093], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [14], 'n_estimators': [90]}"
70,sigma,i_10s3l,ii_corr,15,iii_gbrt,0.036,0.445,0.000,0.323,0.000,0.386,"{'learning_rate': [0.066], 'max_depth': [4], 'max_features': [14], 'max_leaf_nodes': [10], 'n_estimators': [50]}"
71,sigma,i_02s1p,ii_mlr,mlr_ff_multifinal,iii_rf,0.031,0.583,0.000,0.388,0.000,0.384,"{'max_depth': [18], 'max_features': [55], 'max_leaf_nodes': [26], 'n_estimators': [60]}"
72,sigma,i_01s1p,ii_random,des_random_5,iii_gbrt,0.028,0.669,0.000,0.410,0.000,0.382,"{'learning_rate': [0.09], 'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [14], 'n_estimators': [280]}"
73,sigma,i_10s1p,ii_random,des_random_7,iii_lgbm,0.036,0.447,0.000,0.309,0.000,0.381,"{'learning_rate': [0.1], 'max_depth': [10], 'n_estimators': [270], 'num_leaves': [20]}"
74,sigma,i_12s3p,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.035,0.468,0.000,0.358,0.000,0.380,"{'learning_rate': [0.091], 'max_depth': [14], 'n_estimators': [70], 'num_leaves': [20]}"
75,sigma,i_02s1g,ii_random,des_random_4,iii_rf,0.033,0.520,0.000,0.340,0.000,0.374,"{'max_depth': [20], 'max_features': [35], 'max_leaf_nodes': [50], 'n_estimators': [30]}"
76,sigma,i_01s1g,ii_random,des_random_6,iii_lgbm,0.031,0.585,0.000,0.410,0.000,0.368,"{'learning_rate': [0.087], 'max_depth': [12], 'n_estimators': [30], 'num_leaves': [20]}"
77,sigma,i_01s1d,ii_random,des_random_2,iii_gbrt,0.032,0.549,0.000,0.342,0.000,0.362,"{'learning_rate': [0.078], 'max_depth': [6], 'max_features': [19], 'max_leaf_nodes': [16], 'n_estimators': [70]}"
78,sigma,i_13s1g,ii_random,des_random_6,iii_gbrt,0.033,0.517,0.000,0.323,0.000,0.362,"{'learning_rate': [0.074], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [38], 'n_estimators': [80]}"
