,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,sigma,i_01cl,ii_random,des_random_2,iii_gbrt,0.002,0.999,0.000,0.752,0.000,0.740,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [50], 'n_estimators': [150]}"
2,sigma,i_01cl,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.006,0.984,0.000,0.737,0.000,0.737,"{'learning_rate': [0.09], 'max_depth': [8], 'n_estimators': [160], 'num_leaves': [20]}"
3,sigma,i_01cl,ii_corr,150,iii_gbrt,0.008,0.974,0.000,0.752,0.000,0.727,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [110], 'max_leaf_nodes': [12], 'n_estimators': [130]}"
4,sigma,i_01cl,ii_random,des_random_7,iii_gbrt,0.008,0.972,0.000,0.748,0.000,0.723,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [8], 'n_estimators': [190]}"
5,sigma,i_01cl,ii_corr,200,iii_lgbm,0.005,0.988,0.000,0.745,0.000,0.720,"{'learning_rate': [0.07], 'max_depth': [14], 'n_estimators': [200], 'num_leaves': [20]}"
6,sigma,i_01cl,ii_random,des_random_9,iii_gbrt,0.003,0.995,0.000,0.752,0.000,0.718,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [14], 'n_estimators': [240]}"
7,sigma,i_01cl,ii_random,des_random_8,iii_gbrt,0.002,0.999,0.000,0.728,0.000,0.717,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [26], 'n_estimators': [160]}"
8,sigma,i_01cl,ii_random,des_random_3,iii_gbrt,0.009,0.962,0.000,0.766,0.000,0.714,"{'learning_rate': [0.079], 'max_depth': [8], 'max_features': [60], 'max_leaf_nodes': [10], 'n_estimators': [150]}"
9,sigma,i_01cl,ii_random,des_random_4,iii_gbrt,0.008,0.971,0.000,0.731,0.000,0.714,"{'learning_rate': [0.11], 'max_depth': [4], 'max_features': [35], 'max_leaf_nodes': [16], 'n_estimators': [130]}"
10,sigma,i_01cd,ii_corr,150,iii_gbrt,0.002,0.998,0.000,0.729,0.000,0.714,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [55], 'max_leaf_nodes': [44], 'n_estimators': [90]}"
11,sigma,i_12a,ii_random,des_random_3,iii_gbrt,0.017,0.881,0.000,0.731,0.000,0.712,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [240]}"
12,sigma,i_01cg,ii_corr,150,iii_gbrt,0.008,0.969,0.000,0.745,0.000,0.711,"{'learning_rate': [0.095], 'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [14], 'n_estimators': [100]}"
13,sigma,i_01cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.002,0.997,0.000,0.743,0.000,0.709,"{'learning_rate': [0.029], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [16], 'n_estimators': [810]}"
14,sigma,i_01cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.009,0.968,0.000,0.765,0.000,0.709,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [63], 'max_leaf_nodes': [10], 'n_estimators': [190]}"
15,sigma,i_01cg,ii_corr,200,iii_gbrt,0.003,0.996,0.000,0.736,0.000,0.708,"{'learning_rate': [0.043], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [22], 'n_estimators': [350]}"
16,sigma,i_01cl,ii_random,des_random_6,iii_gbrt,0.005,0.991,0.000,0.722,0.000,0.707,"{'learning_rate': [0.089], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [20], 'n_estimators': [130]}"
17,sigma,i_12a,ii_corr,55,iii_gbrt,0.015,0.904,0.000,0.740,0.000,0.707,"{'learning_rate': [0.1], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [14], 'n_estimators': [250]}"
18,sigma,i_12a,ii_corr,70,iii_gbrt,0.015,0.897,0.000,0.756,0.000,0.706,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10], 'n_estimators': [150]}"
19,sigma,i_01cg,ii_random,des_random_5,iii_gbrt,0.006,0.983,0.000,0.743,0.000,0.705,"{'learning_rate': [0.076], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [20], 'n_estimators': [110]}"
20,sigma,i_01cg,ii_random,des_random_1,iii_gbrt,0.005,0.990,0.000,0.727,0.000,0.702,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [210]}"
21,sigma,i_01cl,ii_rf,rf_ff_final,iii_rf,0.013,0.926,0.000,0.718,0.000,0.701,"{'max_depth': [20], 'max_features': [21], 'max_leaf_nodes': [50], 'n_estimators': [1410]}"
22,sigma,i_01cn,ii_rf,rf_ff_final,iii_gbrt,0.006,0.986,0.000,0.755,0.000,0.701,"{'learning_rate': [0.087], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [20], 'n_estimators': [160]}"
23,sigma,i_01cg,ii_random,des_random_4,iii_gbrt,0.004,0.992,0.000,0.743,0.000,0.701,"{'learning_rate': [0.084], 'max_depth': [8], 'max_features': [10], 'max_leaf_nodes': [22], 'n_estimators': [150]}"
24,sigma,i_13a,ii_corr,55,iii_lgbm,0.017,0.873,0.000,0.744,0.000,0.700,"{'learning_rate': [0.13], 'max_depth': [10], 'n_estimators': [120], 'num_leaves': [20]}"
25,sigma,i_01cl,ii_random,des_random_1,iii_gbrt,0.006,0.983,0.000,0.728,0.000,0.700,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [14], 'n_estimators': [130]}"
26,sigma,i_12a,ii_la,la_ff_final,iii_gbrt,0.014,0.914,0.000,0.738,0.000,0.699,"{'learning_rate': [0.09], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [250]}"
27,sigma,i_12a,ii_rf,rf_ff_final,iii_gbrt,0.014,0.914,0.000,0.738,0.000,0.699,"{'learning_rate': [0.09], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [250]}"
28,sigma,i_13a,ii_random,des_random_1,iii_lgbm,0.016,0.891,0.000,0.725,0.000,0.699,"{'learning_rate': [0.066], 'max_depth': [12], 'n_estimators': [200], 'num_leaves': [20]}"
29,sigma,i_01cl,ii_random,des_random_0,iii_gbrt,0.012,0.933,0.000,0.707,0.000,0.698,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [110]}"
30,sigma,i_12a,ii_corr,60,iii_gbrt,0.014,0.912,0.000,0.736,0.000,0.698,"{'learning_rate': [0.11], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [14], 'n_estimators': [270]}"
31,sigma,i_12a,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.014,0.913,0.000,0.727,0.000,0.697,"{'learning_rate': [0.09], 'max_depth': [4], 'max_features': [45], 'max_leaf_nodes': [16], 'n_estimators': [170]}"
32,sigma,i_01cn,ii_la,la_ff_final,iii_gbrt,0.010,0.957,0.000,0.754,0.000,0.696,"{'learning_rate': [0.091], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [160]}"
33,sigma,i_02cl,ii_rf,rf_ff_final,iii_gbrt,0.011,0.945,0.000,0.720,0.000,0.695,"{'learning_rate': [0.079], 'max_depth': [4], 'max_features': [80], 'max_leaf_nodes': [16], 'n_estimators': [210]}"
34,sigma,i_12a,ii_random,des_random_8,iii_gbrt,0.014,0.911,0.000,0.756,0.000,0.695,"{'learning_rate': [0.073], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10], 'n_estimators': [350]}"
35,sigma,i_01cp,ii_random,des_random_1,iii_gbrt,0.002,0.998,0.000,0.768,0.000,0.695,"{'learning_rate': [0.065], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [26], 'n_estimators': [250]}"
36,sigma,i_12a,ii_random,des_random_4,iii_gbrt,0.015,0.902,0.000,0.736,0.000,0.694,"{'learning_rate': [0.089], 'max_depth': [4], 'max_features': [40], 'max_leaf_nodes': [8], 'n_estimators': [330]}"
37,sigma,i_01cg,ii_random,des_random_6,iii_gbrt,0.007,0.980,0.000,0.739,0.000,0.693,"{'learning_rate': [0.077], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [20], 'n_estimators': [150]}"
38,sigma,i_01cn,ii_random,des_random_4,iii_gbrt,0.014,0.918,0.000,0.756,0.000,0.693,"{'learning_rate': [0.075], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [10], 'n_estimators': [120]}"
39,sigma,i_01cd,ii_random,des_random_1,iii_gbrt,0.005,0.988,0.000,0.724,0.000,0.692,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [26], 'n_estimators': [70]}"
40,sigma,i_01cg,ii_la,la_ff_final,iii_lgbm,0.002,0.999,0.000,0.730,0.000,0.691,"{'learning_rate': [0.099], 'max_depth': [14], 'n_estimators': [330], 'num_leaves': [20]}"
41,sigma,i_01cg,ii_rf,rf_ff_final,iii_lgbm,0.002,0.999,0.000,0.730,0.000,0.691,"{'learning_rate': [0.099], 'max_depth': [14], 'n_estimators': [330], 'num_leaves': [20]}"
42,sigma,i_01cl,ii_random,des_random_5,iii_lgbm,0.009,0.968,0.000,0.736,0.000,0.690,"{'learning_rate': [0.08], 'max_depth': [12], 'n_estimators': [130], 'num_leaves': [20]}"
43,sigma,i_01cg,ii_corr,100,iii_gbrt,0.011,0.951,0.000,0.750,0.000,0.690,"{'learning_rate': [0.08], 'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [12], 'n_estimators': [120]}"
44,sigma,i_01cd,ii_la,la_ff_final,iii_gbrt,0.007,0.981,0.000,0.700,0.000,0.689,"{'learning_rate': [0.11], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [120]}"
45,sigma,i_12a,ii_random,des_random_7,iii_lgbm,0.018,0.864,0.000,0.707,0.000,0.688,"{'learning_rate': [0.1], 'max_depth': [10], 'n_estimators': [170], 'num_leaves': [20]}"
