,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,sigma,I_13a,II_sp,76,III_mlr,0.000,0.860,0.000,0.758,{}
2,sigma,I_13a,II_ps,84,III_mlr,0.000,0.864,0.000,0.754,{}
3,sigma,I_13a,II_r2r,84,III_mlr,0.000,0.864,0.000,0.754,{}
4,sigma,I_13a,II_rr2,84,III_mlr,0.000,0.864,0.000,0.754,{}
5,sigma,I_13a,II_ps,83,III_mlr,0.000,0.862,0.000,0.753,{}
6,sigma,I_13a,II_sp,78,III_mlr,0.000,0.860,0.000,0.752,{}
7,sigma,I_13a,II_r2r,78,III_mlr,0.000,0.860,0.000,0.752,{}
8,sigma,I_13a,II_rr2,78,III_mlr,0.000,0.860,0.000,0.752,{}
9,sigma,I_13a,II_ps,78,III_mlr,0.000,0.860,0.000,0.752,{}
10,sigma,I_13a,II_sp,80,III_mlr,0.000,0.860,0.000,0.751,{}
11,sigma,I_13a,II_ps,81,III_mlr,0.000,0.861,0.000,0.751,{}
12,sigma,I_13a,II_sp,82,III_mlr,0.000,0.861,0.000,0.751,{}
13,sigma,I_13a,II_r2r,82,III_mlr,0.000,0.861,0.000,0.751,{}
14,sigma,I_13a,II_rr2,82,III_mlr,0.000,0.861,0.000,0.751,{}
15,sigma,I_13a,II_ps,82,III_mlr,0.000,0.861,0.000,0.751,{}
16,sigma,I_13a,II_r2r,80,III_mlr,0.000,0.861,0.000,0.750,{}
17,sigma,I_13a,II_rr2,80,III_mlr,0.000,0.861,0.000,0.750,{}
18,sigma,I_13a,II_ps,80,III_mlr,0.000,0.861,0.000,0.750,{}
19,sigma,I_13a,II_ps,79,III_mlr,0.000,0.861,0.000,0.750,{}
20,sigma,I_13a,II_sp,84,III_mlr,0.000,0.863,0.000,0.749,{}
21,sigma,I_13a,II_ps,75,III_mlr,0.000,0.857,0.000,0.749,{}
22,sigma,I_13a,II_ps,74,III_mlr,0.000,0.857,0.000,0.747,{}
23,sigma,I_13a,II_r2r,74,III_mlr,0.000,0.857,0.000,0.747,{}
24,sigma,I_13a,II_rr2,74,III_mlr,0.000,0.857,0.000,0.747,{}
25,sigma,I_13a,II_sp,74,III_mlr,0.000,0.857,0.000,0.747,{}
26,sigma,I_13a,II_r2r,72,III_mlr,0.000,0.857,0.000,0.747,{}
27,sigma,I_13a,II_rr2,72,III_mlr,0.000,0.857,0.000,0.747,{}
28,sigma,I_13a,II_ps,73,III_mlr,0.000,0.857,0.000,0.746,{}
29,sigma,I_13a,II_r2r,76,III_mlr,0.000,0.858,0.000,0.745,{}
30,sigma,I_13a,II_rr2,76,III_mlr,0.000,0.858,0.000,0.745,{}
31,sigma,I_13a,II_ps,76,III_mlr,0.000,0.858,0.000,0.745,{}
32,sigma,I_13a,II_sp,60,III_mlr,0.000,0.850,0.000,0.744,{}
33,sigma,I_13a,II_sp,62,III_mlr,0.000,0.851,0.000,0.744,{}
34,sigma,I_13a,II_sp,72,III_mlr,0.000,0.856,0.000,0.744,{}
35,sigma,I_01cl,II_sp,90,III_la,0.000,0.831,0.000,0.744,{'alpha': [0.00019]}
36,sigma,I_01cl,II_sp,89,III_la,0.000,0.831,0.000,0.744,{'alpha': [0.00019]}
37,sigma,I_01cl,II_r2r,96,III_la,0.000,0.833,0.000,0.744,{'alpha': [0.00019]}
38,sigma,I_01cl,II_r2r,97,III_la,0.000,0.833,0.000,0.744,{'alpha': [0.00019]}
39,sigma,I_01cl,II_rr2,96,III_la,0.000,0.833,0.000,0.744,{'alpha': [0.00019]}
40,sigma,I_01cl,II_rr2,97,III_la,0.000,0.833,0.000,0.744,{'alpha': [0.00019]}
