,target name,complex feature set,random seed,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,test set RMSE,test set R^2,learner parameter dict
1,max_ob,I_01ch,rand_24,II_ps,62,III_dtr,8.500,0.960,14.300,0.869,"{'max_depth': [10], 'max_features': [62], 'max_leaf_nodes': [10]}"
2,max_ob,I_13cp,rand_24,II_sp,143,III_la,9.500,0.950,14.800,0.860,{'alpha': [0.39]}
3,max_ob,I_13cp,rand_24,II_sp,144,III_la,9.500,0.950,14.800,0.860,{'alpha': [0.39]}
4,max_ob,I_13cp,rand_24,II_sp,140,III_la,9.800,0.947,14.800,0.860,{'alpha': [0.4]}
5,max_ob,I_13cp,rand_24,II_ps,144,III_la,9.100,0.954,15.200,0.853,{'alpha': [0.35]}
6,max_ob,I_13cp,rand_24,II_ps,143,III_la,9.100,0.954,15.200,0.853,{'alpha': [0.35]}
7,max_ob,I_13cp,rand_24,II_ps,145,III_la,9.200,0.953,15.200,0.852,{'alpha': [0.36]}
8,max_ob,I_13cp,rand_24,II_ps,142,III_la,9.300,0.952,15.300,0.850,{'alpha': [0.37]}
9,max_ob,I_13cp,rand_24,II_ps,141,III_la,9.300,0.953,15.300,0.850,{'alpha': [0.37]}
10,max_ob,I_13cg,rand_24,II_ps,122,III_dtr,17.200,0.836,16.200,0.833,"{'max_depth': [4], 'max_features': [50], 'max_leaf_nodes': [6]}"
11,max_ob,I_01ch,rand_24,II_ps,66,III_dtr,4.500,0.989,16.300,0.831,"{'max_depth': [6], 'max_features': [60], 'max_leaf_nodes': [32]}"
12,max_ob,I_13cp,rand_24,II_sp,133,III_la,8.700,0.958,16.300,0.831,{'alpha': [0.31]}
13,max_ob,I_13cp,rand_24,II_ps,137,III_la,9.700,0.948,16.400,0.828,{'alpha': [0.38]}
14,max_ob,I_13cp,rand_24,II_ps,136,III_la,9.700,0.948,16.400,0.828,{'alpha': [0.38]}
15,max_ob,I_13cp,rand_24,II_ps,140,III_la,9.200,0.953,16.400,0.827,{'alpha': [0.36]}
16,max_ob,I_13cp,rand_24,II_ps,138,III_la,9.800,0.947,16.400,0.827,{'alpha': [0.39]}
17,max_ob,I_13cp,rand_24,II_sp,136,III_la,9.900,0.945,16.500,0.827,{'alpha': [0.4]}
18,max_ob,I_13cp,rand_24,II_ps,139,III_la,8.900,0.956,16.500,0.826,{'alpha': [0.34]}
19,max_ob,I_13cp,rand_24,II_sp,137,III_la,10.200,0.943,16.600,0.825,{'alpha': [0.42]}
20,max_ob,I_13cp,rand_24,II_sp,128,III_la,7.600,0.968,16.700,0.821,{'alpha': [0.22]}
21,max_ob,I_13cp,rand_24,II_sp,127,III_la,7.600,0.968,16.800,0.821,{'alpha': [0.22]}
22,max_ob,I_01ch,rand_24,II_ps,53,III_dtr,6.700,0.975,16.800,0.820,"{'max_depth': [10], 'max_features': [50], 'max_leaf_nodes': [12]}"
23,max_ob,I_13cp,rand_24,II_sp,132,III_la,7.500,0.969,16.900,0.818,{'alpha': [0.21]}
24,max_ob,I_13cp,rand_24,II_sp,131,III_la,7.500,0.969,16.900,0.818,{'alpha': [0.21]}
25,max_ob,I_01ch,rand_24,II_ps,54,III_dtr,6.700,0.975,17.100,0.812,"{'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [12]}"
26,max_ob,I_13cp,rand_24,II_sp,141,III_mlr,0.200,1.000,17.100,0.812,{}
27,max_ob,I_13cp,rand_24,II_sp,126,III_la,7.700,0.967,17.200,0.812,{'alpha': [0.22]}
28,max_ob,I_13cp,rand_24,II_sp,130,III_la,8.800,0.957,17.200,0.811,{'alpha': [0.31]}
29,max_ob,I_13cp,rand_24,II_sp,142,III_mlr,0.200,1.000,17.200,0.811,{}
30,max_ob,I_01cp,rand_24,II_sp,130,III_dtr,9.700,0.948,17.200,0.811,"{'max_depth': [10], 'max_features': [70], 'max_leaf_nodes': [8]}"
31,max_ob,I_13cp,rand_24,II_sp,145,III_mlr,0.200,1.000,17.200,0.810,{}
32,max_ob,I_13cg,rand_24,II_sp,111,III_dtr,19.600,0.789,17.300,0.810,"{'max_depth': [2], 'max_features': [25], 'max_leaf_nodes': [4]}"
33,max_ob,I_13cp,rand_24,II_ps,135,III_la,9.900,0.946,17.300,0.808,{'alpha': [0.39]}
34,max_ob,I_01cl,rand_24,II_ps,176,III_svm_lin,8.500,0.960,17.400,0.807,{}
35,max_ob,I_01cl,rand_24,II_ps,177,III_svm_lin,8.500,0.960,17.400,0.806,{}
36,max_ob,I_01cl,rand_24,II_sp,177,III_svm_lin,8.500,0.960,17.400,0.806,{}
37,max_ob,I_01cl,rand_24,II_sp,176,III_svm_lin,8.800,0.957,17.400,0.805,{}
38,max_ob,I_01cl,rand_24,II_sp,175,III_svm_lin,8.800,0.957,17.400,0.805,{}
39,max_ob,I_01cg,rand_24,II_sp,139,III_mlr,0.000,1.000,17.500,0.805,{}
40,max_ob,I_01cg,rand_24,II_sp,137,III_mlr,0.000,1.000,17.500,0.805,{}
41,max_ob,I_01cg,rand_24,II_sp,136,III_mlr,0.000,1.000,17.500,0.805,{}
